case,theta_h_over_B,theta_v_over_B,mean_qu50,cov_qu50,q5_qu50,q50_qu50,q95_qu50,pf50,beta50,delta_beta_vs_averaged,p_serviceability_index_gt_0p045
A mean-field averaged model,0.0,0.0,1334.5003052157845,0.0,1334.5003052157845,1334.5003052157845,1334.5003052157845,0.0004,3.3527947805048286,0.0,0.0
B vertical variability only,1e-09,0.25,1309.106050563916,0.002629344584879904,1303.4151936536196,1309.1726636475005,1314.600785174411,0.002,2.878161739095483,-0.4746330414093456,0.0
C short horizontal correlation,0.25,0.25,1308.9322107612372,0.008692097648902258,1290.915164499162,1308.421748206304,1328.2894062030655,0.0016,2.9478425521849063,-0.4049522283199223,0.0
D moderate horizontal correlation,1.0,0.25,1308.477446951868,0.01816485118081791,1271.9136293569052,1306.7172298834362,1349.562674328232,0.0026,2.7943758687810414,-0.5584189117237872,0.0
E long horizontal correlation,2.0,0.25,1307.697665133385,0.0223665873498035,1264.2294348968655,1304.8083518956864,1360.9255694045567,0.0032,2.726551316504396,-0.6262434640004324,0.0
F strong anisotropy horizontal,2.0,0.1,1308.096339127144,0.020610007701026466,1266.1246748058256,1306.8882175527117,1354.5048528900145,0.0024,2.8201580593201587,-0.5326367211846699,0.0
G strong anisotropy vertical,0.25,1.0,1308.9601195326534,0.010208128970336895,1288.1513794732853,1308.319222639485,1331.7577673234696,0.0008,3.155906757921816,-0.19688802258301275,0.0
