plate_size,geometry,qu_untreated_kpa,settlement_untreated_mm,qu_treated_kpa,settlement_treated_mm,BCR,SRF,settlement_reduction_percent,source
50 diameter,circular,19.0,13.5,93.0,7.1,4.89,0.526,53.76,"Kulkarni et al. (2021), Figure 6 and Table 6; DOI:10.5614/j.eng.technol.sci.2021.53.6.2"
100 diameter,circular,42.0,9.2,133.0,5.4,3.16,0.587,53.76,"Kulkarni et al. (2021), Figure 6 and Table 6; DOI:10.5614/j.eng.technol.sci.2021.53.6.2"
120 diameter,circular,29.0,7.2,170.0,3.6,5.86,0.5,53.76,"Kulkarni et al. (2021), Figure 6 and Table 6; DOI:10.5614/j.eng.technol.sci.2021.53.6.2"
50 x 50,square,25.0,17.4,111.5,7.3,4.46,0.42,34.9,"Kulkarni et al. (2021), Figure 6 and Table 6; DOI:10.5614/j.eng.technol.sci.2021.53.6.2"
100 x 100,square,49.0,16.2,166.0,5.3,3.38,0.327,34.9,"Kulkarni et al. (2021), Figure 6 and Table 6; DOI:10.5614/j.eng.technol.sci.2021.53.6.2"
120 x 120,square,41.0,14.6,177.0,4.4,4.31,0.3,34.9,"Kulkarni et al. (2021), Figure 6 and Table 6; DOI:10.5614/j.eng.technol.sci.2021.53.6.2"
