lambda_e,eta_r,sample_type,eta50,beta50,pf50,qservice_max_beta3
0.012467181467181468,0.4417374517374517,prior,0.7142375754239672,1.7757030904328326,0.03789093387973114,641.1301470266942
0.01896525096525097,0.2286872586872587,prior,0.5081335894627186,1.3947266707263313,0.08154913950244053,576.9133221230985
0.022023166023166025,0.36034749034749036,prior,0.5563985425121301,1.4876154388264315,0.0684261697648278,591.9514691268981
0.060629343629343635,0.19517374517374517,prior,0.2315901886044985,0.8108160149232604,0.20873566807020116,490.74934490387005
0.02278764478764479,0.21911196911196912,prior,0.4530083115352821,1.2856257682163057,0.09928684960919515,559.7376702116705
0.033490347490347495,0.12575289575289575,prior,0.28021564996758935,0.920571570740165,0.1786370752768182,505.89981724261105
0.07324324324324324,0.2215057915057915,prior,0.24021128992093094,0.8305202145455839,0.2031223617976355,493.43546352079767
0.04801544401544402,0.33401544401544403,prior,0.3898531676068386,1.156440239696279,0.12375056511293397,540.0601137563734
0.02087644787644788,0.41301158301158303,prior,0.6020885435135305,1.5733994014280728,0.057813182763699345,606.1873257527069
0.011702702702702704,0.2717760617760618,prior,0.6495675370302183,1.660433649063038,0.04841362277969691,620.9805875086118
0.061776061776061784,0.4896138996138997,prior,0.5105874554286549,1.3995074014573035,0.08083044020031493,577.6778851194738
0.01781853281853282,0.24305019305019304,prior,0.5330943068712877,1.4430633894693068,0.07450130764576013,584.6904546798438
0.06942084942084943,0.4584942084942085,prior,0.47377247382471555,1.327109104030775,0.09223629709462794,566.2072616064779
0.026610038610038612,0.492007722007722,prior,0.6130754825326711,1.5937270947115751,0.05549858643287037,609.6105799703682
0.047250965250965254,0.1496911196911197,prior,0.2250641476009597,0.7958283843965314,0.21306589564497563,488.71599445466165
0.02278764478764479,0.14011583011583012,prior,0.3992922526552603,1.1760444608694967,0.11978855487391027,543.0010955572717
0.033490347490347495,0.11138996138996139,prior,0.2685443094105322,0.8945302240493248,0.1855191330350996,502.26332069720365
0.026610038610038612,0.1855984555984556,prior,0.3876638343602953,1.1518779188801271,0.12468562155059326,539.3779725105687
0.02431660231660232,0.3747104247104247,prior,0.5452629656742052,1.4663955004169171,0.0712702857288719,588.4819030985342
0.0548957528957529,0.5566409266409267,prior,0.581918946114632,1.5357816390024304,0.062295972194210736,599.9029858429267
0.013996138996138996,0.28853281853281854,prior,0.6170711180502417,1.6010914023630078,0.05467833810047612,610.855519631354
0.03425482625482626,0.16644787644787645,prior,0.3077776915900764,0.9813330352509129,0.16321426848266973,514.487457081802
0.04801544401544402,0.2861389961389962,prior,0.346316620523504,1.0646142459170054,0.14352526522385445,526.4952192788677
0.017054054054054055,0.31007722007722005,prior,0.5828515464491775,1.537529677599889,0.06208182663416728,600.1935606812017
0.0720965250965251,0.18081081081081082,prior,0.2017267331675728,0.7417169745046548,0.22912941654024194,481.44464232926794
0.04037065637065638,0.36034749034749036,prior,0.4386829663376064,1.256725655749134,0.10442649732706016,555.2742524861362
0.04763320463320464,0.09702702702702702,prior,0.17583921311196482,0.680728276613981,0.2480217203453638,473.3787413480424
0.019729729729729733,0.108996138996139,prior,0.4225934658709086,1.2239882316840685,0.1104783335086914,550.2611682925559
0.030814671814671818,0.41779922779922785,prior,0.5318093480710686,1.4405907911837716,0.0748501617783408,584.2900937945501
0.03196138996138996,0.24544401544401545,prior,0.3879662895756408,1.15250854443799,0.1245560803312723,539.4722099583039
0.021640926640926643,0.12575289575289575,prior,0.4050913199513444,1.1880360714011915,0.11740959935374035,544.8079392600753
0.01590733590733591,0.3196525096525097,prior,0.6042012174825593,1.5773171049729136,0.05736128926389927,606.8455818932408
0.03196138996138996,0.1855984555984556,prior,0.3402266879120197,1.0515812740939747,0.14649585145845312,524.5977492500255
0.04495752895752896,0.037181467181467184,prior,0.13359635751494475,0.5789406839488804,0.28131459870714004,460.21692864146166
0.04916216216216217,0.17362934362934362,prior,0.2400841390230583,0.8302303813403489,0.20320427052129253,493.3958464949214
0.019729729729729733,0.11617760617760618,prior,0.42709707505959704,1.2331817195550137,0.10875398701763345,551.6643797896813
0.03884169884169884,0.43455598455598454,prior,0.5084730518902397,1.3953884039959696,0.08144937312007011,577.0190900885641
0.028521235521235526,0.1042084942084942,prior,0.30741263758247467,0.9805349083063422,0.16341107348458,514.3737154228176
0.07783011583011584,0.357953667953668,prior,0.3700400468069773,1.114940395376542,0.13243798235305182,533.8868430005243
0.02775675675675676,0.12096525096525096,prior,0.32790428601689126,1.0250654778691142,0.15266614663525535,520.7583983456718
0.0548957528957529,0.4106177606177607,prior,0.44527951287999706,1.270062350324056,0.10203121068240056,557.3295706902236
0.03157915057915058,0.12096525096525096,prior,0.2919038705227208,0.9464636559012211,0.17195607553477082,509.54157317141005
0.03272586872586873,0.5566409266409267,prior,0.6332280860607971,1.6307178502133437,0.05147493416039889,615.8896250168845
0.018583011583011587,0.4034362934362934,prior,0.6192682861690053,1.6051345832990622,0.054232094976807865,611.5401020265384
0.051837837837837845,0.41301158301158303,prior,0.4532203329673019,1.2860517698198148,0.09921249736087334,559.8037307641257
0.025081081081081084,0.345984555984556,prior,0.5183377307271624,1.4145653873188873,0.0785979816036455,580.0926762234774
0.03425482625482626,0.2693822393822394,prior,0.3921457153518216,1.1612114753902674,0.1227779545935514,540.7744140472488
0.020494208494208497,0.2238996138996139,prior,0.4844973176928621,1.3483502907303304,0.08877287202843132,569.5488535586522
0.04113513513513514,0.492007722007722,prior,0.5505702809765456,1.4765246723409593,0.06990154844383084,590.1355292323958
0.03157915057915058,0.3866795366795367,prior,0.50283054540455,1.3843733668935125,0.08312207981201292,575.2610268016315
0.03616602316602317,0.2502316602316602,prior,0.36494636051138224,1.10419379956127,0.13475453937981852,532.2997782990219
0.03196138996138996,0.11617760617760618,prior,0.2848487499822193,0.9308571771901866,0.1759637241984099,507.3433748284225
0.011702702702702704,0.3794980694980695,prior,0.6972850920618527,1.7458407456156324,0.04041931429188195,635.8481790401522
0.02584555984555985,0.2717760617760618,prior,0.45804649009485743,1.295735098342337,0.09753338241086534,561.307440096927
0.02125868725868726,0.3124710424710425,prior,0.532699474846587,1.4423038091705327,0.07460834303830355,584.5674349387249
0.025463320463320466,0.36034749034749036,prior,0.5254171184740235,1.4282652296519407,0.07660776589086932,582.2984356183991
0.03310810810810811,0.3962548262548262,prior,0.5020282400357838,1.3828044109205746,0.08336242307058633,575.0110486018166
0.024698841698841702,0.23826254826254825,prior,0.4452725295548008,1.270048257674232,0.10203372046114989,557.3273948615065
