time_year,scenario,CDR,cycles,R_env,qmax_over_qu,epsilon_p_raw,epsilon_p_eff,eta_eff,cb_eff,Delta_tan_phi_eff,Dcp,Dphip,qu,qu_no_cyclic_damage,FS,pf,beta,pf_life
0.0,C1,0.085,2000.0,1.0,0.6625,0.0,0.0,0.92,95.39932470617993,0.11178947055281566,1.0,1.0,944.8336149185893,944.8336149185893,0.9945616999143045,0.5279503731974511,-0.0701186111499833,0.7641333333333333
0.5,C1,0.0938167787843871,2000.0,1.0,0.6669083893921935,2.2910041698563888e-07,2.291001253906799e-07,0.9106853546561176,94.28923418296596,0.11082654602409685,0.9999981672006765,0.9999987399501042,943.7098215910132,943.7101235719426,0.9933787595694876,0.5310522952884653,-0.0779153243218,0.7641333333333333
1.0,C1,0.09926584774442732,2000.0,1.0,0.6696329238722136,6.973158413747148e-07,6.973131400000997e-07,0.9015002057568354,93.19606617116503,0.1098754169400502,0.9999944215104398,0.9999961647850845,942.5766622071726,942.5775754658829,0.9921859602180765,0.534181900773069,-0.08578642439700673,0.7641333333333333
1.5,C1,0.09926584774442732,2000.0,1.0,0.6696329238722136,1.1655312657637907e-06,1.1655237187779832e-06,0.8924427529835647,92.11973330002233,0.1089360877298529,0.9999906758537199,0.9999935896400932,941.4355484077994,941.4370649809753,0.9909847877976836,0.5373351403016491,-0.09372234533218382,0.7641333333333333
2.0,C1,0.0938167787843871,2000.0,1.0,0.6669083893921935,1.3946316827494297e-06,1.3946208772619428e-06,0.8835112210465655,91.06014420836578,0.10800855951298438,0.9999888430952206,0.9999923296145926,940.2878299069412,940.2896326818948,0.989776663059938,0.5405081186561396,-0.10171390765757682,0.7641333333333333
2.5,C1,0.085,2000.0,1.0,0.6625,1.4203911430526968e-06,1.420379934718996e-06,0.8747038593369854,90.0170058417712,0.10709266832564786,0.9999886370250813,0.9999921879408733,939.1344437220962,939.1362676245454,0.9885625723390487,0.543698067528538,-0.10975476700359285,0.7641333333333333
3.0,C1,0.07618322121561291,2000.0,1.0,0.6580916106078064,1.4203911430526968e-06,1.420379934718996e-06,0.8660189415837336,88.98992973039631,0.10618816981416768,0.9999886370250813,0.9999921879408733,937.9760978791912,937.977909567426,0.9873432609254644,0.5469028411519739,-0.11784014793748587,0.7641333333333333
3.5,C1,0.07073415225557271,2000.0,1.0,0.6553670761277863,1.4203911430526968e-06,1.420379934718996e-06,0.8574547655151271,87.9786442685819,0.10529491271882546,0.9999886370250813,0.9999921879408733,936.8136516521687,936.815451091199,0.9861196333180723,0.5501198662098923,-0.1259641942909731,0.7641333333333333
4.0,C1,0.0707341522555727,2000.0,1.0,0.6553670761277863,1.4203911430526968e-06,1.420379934718996e-06,0.8490096525252394,86.98290065598326,0.10441276266874759,0.9999886370250813,0.9999921879408733,935.6479524667795,935.6497396302573,0.9848925815439785,0.5533465941434034,-0.13412110415422837,0.7641333333333333
4.5,C1,0.07618322121561291,2000.0,1.0,0.6580916106078064,1.4203911430526968e-06,1.420379934718996e-06,0.8406819473448888,86.00245406793434,0.10354158686107999,0.9999886370250813,0.9999921879408733,934.4798045501541,934.4815794199259,0.9836629521580569,0.5565805894843632,-0.14230534976559212,0.7641333333333333
