kH,objective,rmse_bcr,mape_percent,max_abs_error_bcr,bias_bcr
0.25,0.01797138425377727,0.13405739164170422,8.776111767116255,0.21156891289583823,0.11825695785241916
0.2538847117794486,0.017667499841451918,0.13291914776077945,8.710389330284968,0.20929790226120049,0.11739487347286418
0.25776942355889726,0.017364267308049,0.13177354555467116,8.644005485931881,0.20702794943278113,0.11652349597563609
0.26165413533834586,0.017061873703851226,0.1306211074208576,8.576989942931736,0.2047600528569946,0.115643209663076
0.26553884711779446,0.01676049619966144,0.12946233506182964,8.509371540851177,0.20249514900388932,0.11475438832283932
0.2694235588972431,0.016460302415792105,0.12829771009566812,8.441178262054459,0.20023411534631474,0.11385739533904907
0.2733082706766917,0.016161450753069642,0.12712769467377927,8.372437245506298,0.19797777324708798,0.11295258382757814
0.2771929824561403,0.01586409072384466,0.12595273210154934,8.30317480197474,0.19572689074940386,0.11204029679154766
0.281077694235589,0.015568363281298273,0.12477324745833249,8.23341643037193,0.19348218526729832,0.11112086729357529
0.2849624060150376,0.015274401145600683,0.12358964821375891,8.163186835002707,0.1912443261742971,0.11019461864171953
0.28884711779448624,0.014982329125707744,0.12240232483783853,8.092509943518566,0.1890139372894628,0.10926186458642242
0.29273182957393484,0.014692264435787496,0.12121165140277355,8.021408925400596,0.186791599260963,0.10832290952608759
0.29661654135338344,0.014404317005444636,0.12001798617475898,7.949906210816886,0.18457785184801567,0.10737804871921704
0.3005012531328321,0.014118589783068503,0.11882167219437918,7.878023509720674,0.18237319610266844,0.10642756850129778
0.3043859649122807,0.013835179031765532,0.11762303784448662,7.805781831073164,0.1801780964533517,0.10547174650486121
0.3082706766917293,0.013554174617455153,0.11642239740468821,7.733201502090921,0.1779929826925173,0.10451085188134619
0.31215538847117796,0.013275660288811502,0.11522005159177591,7.660302187432072,0.17581825187097655,0.1035451455235847
0.31604010025062657,0.012999713948822194,0.11401628808561606,7.587102908248047,0.17365427010176426,0.10257488028789377
0.31992481203007517,0.012726407917812066,0.11281138204016501,7.513622061038781,0.17150137427652368,0.10160030121490463
0.3238095238095238,0.012455809187846216,0.11160559657941091,7.439877436259064,0.1693598736975055,0.10062164574838901
0.3276942355889724,0.01218797966848296,0.11039918327815183,7.365886236632452,0.16723005162835025,0.09963914395145874
0.3315789473684211,0.011922976423896382,0.10919238262761914,7.291665095136897,0.1651121667668467,0.09865301871961729
0.3354636591478697,0.011660851901428244,0.10798542448603073,7.217230092632692,0.16300645464286068,0.09766348599022874
0.3393483709273183,0.011401654151664414,0.10677852851423086,7.142596775109518,0.16091312894460796,0.0966707549480513
0.3432330827067669,0.011145427040159726,0.10557190459662895,7.067780170534379,0.15883238277640022,0.09567502822655127
0.34711779448621555,0.010892210450958676,0.1043657532476946,6.992794805286557,0.1567643898509341,0.09467650210477037
