kz,effective_IR_CPT,target_effective_IR_CPT,objective
0.25,0.8642437184224977,0.564344187245019,0.08993972880047152
0.25413533834586466,0.8609883801124518,0.564344187245019,0.08799777716197069
0.2582706766917293,0.8577607769855952,0.564344187245019,0.08609329513498959
0.262406015037594,0.8545606039005302,0.564344187245019,0.0842255684963653
0.26654135338345863,0.8513875571283193,0.564344187245019,0.08239389619396112
0.2706766917293233,0.848241334724857,0.564344187245019,0.08059759034718887
0.27481203007518795,0.8451216368798791,0.564344187245019,0.07883597622345638
0.2789473684210526,0.8420281662409917,0.564344187245019,0.07710839219103584
0.28308270676691727,0.8389606282116636,0.564344187245019,0.0754141896491866
0.28721804511278193,0.8359187312225961,0.564344187245019,0.07375273293662894
0.2913533834586466,0.8329021869762993,0.564344187245019,0.07212339921966632
0.29548872180451125,0.8299107106650463,0.564344187245019,0.0705255783613999
0.2996240601503759,0.8269440211626624,0.564344187245019,0.0689586727735739
0.3037593984962406,0.8240018411908397,0.564344187245019,0.0674220972526476
0.3078947368421053,0.8210838974608673,0.564344187245019,0.06591527880171776
0.31203007518796994,0.8181899207918042,0.564344187245019,0.06443765643990547
0.3161654135338346,0.8153196462062505,0.564344187245019,0.06298868100080081
0.32030075187969925,0.8124728130049513,0.564344187245019,0.06156781492151255
0.3244360902255639,0.8096491648215252,0.564344187245019,0.060174532023810186
0.32857142857142857,0.8068484496586462,0.564344187245019,0.05880831728877737
0.33270676691729323,0.8040704199070299,0.564344187245019,0.057468666626320566
0.3368421052631579,0.8013148323485605,0.564344187245019,0.05615508664078861
0.34097744360902255,0.7985814481448925,0.564344187245019,0.05486709439387541
0.3451127819548872,0.795870032812832,0.564344187245019,0.05360421716589078
0.34924812030075186,0.7931803561877597,0.564344187245019,0.05236599221639057
0.3533834586466165,0.7905121923763251,0.564344187245019,0.05115196654507449
0.3575187969924812,0.7878653196995817,0.564344187245019,0.04996169665377018
0.36165413533834584,0.7852395206276904,0.564344187245019,0.048794748310241554
0.3657894736842105,0.7826345817072418,0.564344187245019,0.047650696314472815
0.36992481203007516,0.780050293482216,0.564344187245019,0.046529124268012916
0.37406015037593987,0.7774864504095139,0.564344187245019,0.04542962434688281
0.37819548872180453,0.7749428507699404,0.564344187245019,0.04435179707848306
0.3823308270676692,0.7724192965754657,0.564344187245019,0.04329525112287735
0.38646616541353385,0.7699155934735222,0.564344187245019,0.0422596030587643
0.3906015037593985,0.7674315506490376,0.564344187245019,0.041244477174395895
0.39473684210526316,0.7649669807248478,0.564344187245019,0.040249505263650044
0.3988721804511278,0.7625216996610827,0.564344187245019,0.0392743264274191
