0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
mild,mild,mild,mild,mild,flushing,flushing,mild,flushing,flushing,mitigated,mild,chemical_pulse,chemical_pulse,mitigated,mitigated,mitigated,mild,mild,mild,mild,mild,mild,wetting_drying,wetting_drying,wetting_drying,wetting_drying,mild,mild,mild,mild,mitigated,mild,mild,mild,chemical_pulse,chemical_pulse,chemical_pulse,wetting_drying,wetting_drying,mild,mild,mild,mild,mild,wetting_drying,mitigated,mild,wetting_drying,mitigated,mitigated
mild,mild,mild,mild,mild,wetting_drying,mild,flushing,mild,mild,mild,mild,flushing,chemical_pulse,mitigated,mild,mild,mild,mild,flushing,mild,mild,wetting_drying,flushing,flushing,flushing,mitigated,mild,mild,mild,mild,wetting_drying,flushing,mild,mild,mild,mild,flushing,mild,wetting_drying,mild,flushing,flushing,chemical_pulse,mild,mild,mild,mild,wetting_drying,wetting_drying,wetting_drying
mild,mild,mild,mitigated,mitigated,mitigated,mitigated,mild,mild,mild,mild,mild,mild,mild,mild,mild,mild,mild,mild,mild,mild,mild,mild,mild,mild,mild,chemical_pulse,flushing,flushing,chemical_pulse,mild,flushing,flushing,wetting_drying,mild,mild,wetting_drying,flushing,flushing,mild,mild,mild,mild,mild,mild,mild,mild,mild,wetting_drying,chemical_pulse,chemical_pulse
mild,mild,mild,mild,mild,mild,mild,mild,mild,mild,mild,mild,mild,mild,mild,mild,chemical_pulse,mild,mild,mild,flushing,mild,mild,mild,chemical_pulse,wetting_drying,wetting_drying,mitigated,mild,mild,mild,mild,mild,wetting_drying,chemical_pulse,mild,mild,mild,mild,mild,mild,flushing,mitigated,mild,mild,mild,mild,wetting_drying,flushing,flushing,mild
mild,mild,mild,wetting_drying,wetting_drying,chemical_pulse,chemical_pulse,flushing,mild,mild,mild,mild,mild,mild,mild,mild,mild,mild,wetting_drying,flushing,flushing,mild,wetting_drying,wetting_drying,flushing,mitigated,wetting_drying,mild,mild,mild,mild,wetting_drying,mild,mild,mild,mild,mild,mild,mild,mild,wetting_drying,mild,mild,wetting_drying,mild,mild,mild,wetting_drying,wetting_drying,wetting_drying,wetting_drying
mild,mild,mild,mild,mild,mild,mild,mild,mild,mild,mild,wetting_drying,wetting_drying,mild,mitigated,mild,mitigated,mitigated,wetting_drying,wetting_drying,wetting_drying,wetting_drying,mild,mild,mild,mild,mild,mild,mild,wetting_drying,mild,chemical_pulse,mitigated,mitigated,mild,mild,mild,mild,mild,mild,mild,mild,mild,flushing,chemical_pulse,wetting_drying,chemical_pulse,flushing,mitigated,mild,mild
mild,mild,mild,mild,mild,wetting_drying,wetting_drying,flushing,mild,wetting_drying,wetting_drying,wetting_drying,mild,mild,mild,mild,mitigated,mitigated,flushing,mild,wetting_drying,wetting_drying,chemical_pulse,flushing,flushing,mild,mild,mild,wetting_drying,mild,mild,mild,mild,mild,mild,mild,mild,mild,mild,mild,mild,mild,mild,wetting_drying,wetting_drying,mild,mild,mild,wetting_drying,wetting_drying,mild
mild,flushing,flushing,mild,wetting_drying,mild,mild,mild,mild,wetting_drying,wetting_drying,chemical_pulse,flushing,mild,mild,mild,mild,wetting_drying,mitigated,wetting_drying,wetting_drying,mitigated,mitigated,chemical_pulse,wetting_drying,wetting_drying,wetting_drying,wetting_drying,chemical_pulse,chemical_pulse,flushing,mild,mild,mild,mild,mild,mild,mild,mitigated,mild,mild,mild,chemical_pulse,flushing,mild,mild,flushing,wetting_drying,mild,mild,mild
mild,mild,mild,mild,mild,mild,flushing,wetting_drying,mitigated,mild,wetting_drying,wetting_drying,mild,wetting_drying,flushing,mild,wetting_drying,mitigated,mild,mild,mild,mild,mild,mild,mild,mild,mild,mild,flushing,mild,wetting_drying,wetting_drying,wetting_drying,wetting_drying,wetting_drying,mild,wetting_drying,wetting_drying,mitigated,mild,mild,mild,mild,chemical_pulse,mitigated,mitigated,mitigated,wetting_drying,mild,mild,wetting_drying
mild,wetting_drying,mild,mild,mitigated,mitigated,mild,mild,chemical_pulse,mild,mild,mild,mild,mitigated,mild,mitigated,chemical_pulse,mild,mild,mild,wetting_drying,wetting_drying,chemical_pulse,mild,mild,mild,mild,wetting_drying,wetting_drying,mild,mild,mild,mild,mild,mild,mild,mild,flushing,chemical_pulse,mitigated,mild,mild,mild,mild,mild,mitigated,mild,mild,mild,mild,mild
