alternative,H_over_B,c_b0_kpa,q_service_kpa,lambda_per_year,q_u_50yr_kpa,FS_50yr,serviceability_index_50yr
baseline design,1.0,20.0,900.0,0.035,1237.8346899933506,1.3753718777703896,0.05968458722010989
deeper treatment,1.75,20.0,900.0,0.035,1295.193274822812,1.4391036386920135,0.05289207515786009
higher initial cementation,1.0,30.0,900.0,0.035,1321.0535752065093,1.4678373057850103,0.055924796621088464
reduced service pressure,1.0,20.0,750.0,0.035,1237.8346899933506,1.6504462533244675,0.049737156016758245
controlled degradation,1.0,20.0,900.0,0.012,1523.7409958646742,1.6930455509607492,0.03272975289792748
combined redesign,1.75,30.0,850.0,0.012,1853.4974272506015,2.1805852085301196,0.023105523904301786
