quantity,unit,prior_mean,prior_median,prior_ci95_low,prior_ci95_high,posterior_mean,posterior_median,posterior_ci95_low,posterior_ci95_high,change_mean,design_consequence
lambda_e,1/yr,0.033598389138128626,0.029667953667953672,0.009791505791505794,0.07974131274131276,0.024787748227296454,0.023552123552123556,0.012084942084942086,0.045722007722007726,-0.008810640910832172,degradation rate
eta_r,-,0.27169560791919156,0.26459459459459456,0.07787644787644787,0.5087644787644787,0.2906055063262012,0.2861389961389962,0.08745173745173745,0.5135521235521235,0.01890989840700963,residual cementation
eta50,-,0.4418450203673135,0.4423810918994552,0.17310743503600054,0.7106500009204259,0.5037639235511818,0.5031869391468334,0.35602428938151265,0.6554164286886666,0.061918903183868335,50-year retained cementation credit
beta50,-,1.2517319973826906,1.2642084798894866,0.674231932329411,1.7694040378438414,1.3830828588184718,1.3850700974152046,1.0852926795993056,1.671011579578773,0.13135086143578123,50-year reliability index at qservice=900 kPa
pf50,-,0.11458782790854448,0.1030773580980563,0.03841230044840002,0.2500741026421517,0.08569616571953363,0.08301435143005954,0.047358159414859866,0.13889116756962216,-0.028891662189010847,50-year failure probability at qservice=900 kPa
qservice_max_beta3,kPa,556.2594690942207,556.4264955180657,472.52758791905126,640.0123489276034,575.5518439866148,575.3720701394797,529.5198850482819,622.8029552311909,19.29237489239415,allowable service pressure for beta>=3
