sample_size,pf_50yr,beta_50yr
1000,0.113,1.2107271327915974
3000,0.12,1.17498679206609
10000,0.121,1.1700024075004787
30000,0.11696666666666666,1.190287700442938
60000,0.11516666666666667,1.1995006469922895
120000,0.11595833333333333,1.1954361553852642
