parameter,nominal,rich_fit,sparse_fit
eta0,0.92,0.92,0.92
etar,0.25,0.25,0.25
lambda_e,0.028,0.028,0.028
cb0,105.0,105.0,105.0
dtanphi,0.12,0.12,0.12
kH,0.7,0.7,0.7
kE,0.55,0.55,0.55
chimin,0.55,0.55,0.55
rs,0.22,0.22,0.22
