time_year,eta,phi_deg,c_b_kpa,q_u_bdc_kpa,q_u_matrix_kpa,q_u_non_degrading_kpa,factor_of_safety,settlement_index
0.0,1.0,35.0,20.0,1849.684099784351,961.0457249966094,1849.684099784351,2.0552045553159455,0.019384154559581306
0.5,0.986468743818757,34.96078854616384,19.689098165040225,1838.7338827186927,961.0457249966094,1849.684099784351,2.0430376474652143,0.01970723755485158
1.0,0.9731722246809018,34.92222073373473,19.3842122571619,1827.8369306561654,961.0457249966094,1849.684099784351,2.030929922951295,0.020034363627312583
1.5,0.960106370423525,34.884286639642276,19.08522347716967,1817.001999451456,961.0457249966094,1849.684099784351,2.0188911105016176,0.020365450280622373
2.0,0.9472671795266396,34.84697647111978,18.79201539452349,1806.2370531290667,961.0457249966094,1849.684099784351,2.0069300590322965,0.02070041448709008
2.5,0.9346507198876844,34.81028056483091,18.50447390011552,1795.5493194331625,961.0457249966094,1849.684099784351,1.9950547993701806,0.021039172621943967
3.0,0.9222531276172872,34.77418938596671,18.222487159986354,1784.9453416423169,961.0457249966094,1849.684099784351,1.9832726018247966,0.02138164040972469
3.5,0.9100706058559171,34.73869352731505,17.9459455699617,1774.431026902852,961.0457249966094,1849.684099784351,1.9715900298920577,0.021727732881741464
4.0,0.8980994236110685,34.703783708304144,17.674741711191384,1764.011691316647,961.0457249966094,1849.684099784351,1.9600129903518302,0.022077364343634075
4.5,0.886335914614614,34.66945077402198,17.40877030657249,1753.6921020029304,961.0457249966094,1849.684099784351,1.9485467800032559,0.02243044835217465
5.0,0.8747764761999818,34.63568569421328,17.14792817803912,1743.476516338269,961.0457249966094,1849.684099784351,1.9371961292647433,0.022786897700523674
5.5,0.8634175681988107,34.6024795622556,16.892114204701507,1733.3687185648178,961.0457249966094,1849.684099784351,1.9259652428497975,0.02314662441122518
6.0,0.8522557118567459,34.56982359411623,16.64122928181746,1723.372053943796,961.0457249966094,1849.684099784351,1.9148578377153287,0.0235095397362876
6.5,0.8412874887680436,34.5377091272911,16.39517628057965,1713.4894606188786,961.0457249966094,1849.684099784351,1.9038771784654207,0.023875554163752533
7.0,0.8305095398286572,34.50612761972754,16.153860008702463,1703.7234993429643,961.0457249966094,1849.684099784351,1.8930261103810715,0.024244577430200996
7.5,0.819918564207485,34.4750706487318,15.917187171792404,1694.076381211157,961.0457249966094,1849.684099784351,1.8823070902346188,0.024616518538690794
8.0,0.8095113183354659,34.44452990986302,15.685066335486564,1684.549993533108,961.0457249966094,1849.684099784351,1.8717222150367865,0.024991285781656068
8.5,0.7992846149122101,34.414497215814784,15.45740788834376,1675.1459239687338,961.0457249966094,1849.684099784351,1.8612732488541486,0.025368786768334872
9.0,0.7892353219298643,34.384964495285324,15.234124005473364,1665.865483042889,961.0457249966094,1849.684099784351,1.8509616478254323,0.025748928456320767
9.5,0.7793603617139088,34.35592379183781,15.015128612887171,1656.7097251467294,961.0457249966094,1849.684099784351,1.840788583496366,0.02613161718686227
10.0,0.7696567099805964,34.327367262751636,14.800337352559863,1647.6794681262136,961.0457249966094,1849.684099784351,1.8307549645846817,0.026516758723558163
10.5,0.7601213949107418,34.29928717786582,14.589667548183945,1638.7753115513685,961.0457249966094,1849.684099784351,1.8208614572792983,0.026904258294119597
11.0,0.7507514962395784,34.27167591841558,14.383038171605396,1629.997653753655,961.0457249966094,1849.684099784351,1.8111085041707278,0.027294020634890018
11.5,0.7415441443624043,34.24452597586305,14.180369809926379,1621.3467077129094,961.0457249966094,1849.684099784351,1.8014963419032326,0.02768595003783182
12.0,0.7324965194557442,34.21782995072298,13.981584633261832,1612.822515869803,961.0457249966094,1849.684099784351,1.7920250176331145,0.028079950399706725
12.5,0.7236058506137558,34.191580551384504,13.786606363136842,1604.4249639347377,961.0457249966094,1849.684099784351,1.7826944043719308,0.028475925273191365
13.0,0.714869414999618,34.16577059292963,13.595360241512077,1596.1537937593332,961.0457249966094,1849.684099784351,1.773504215288148,0.028873777919683898
13.5,0.7062845370116415,34.140392995949334,13.407773000424829,1588.0086153322386,961.0457249966094,1849.684099784351,1.7644540170358207,0.029273411363571245
14.0,0.6978485874638445,34.115440785358174,13.223772832233312,1579.988917956874,961.0457249966094,1849.684099784351,1.7555432421743045,0.029674728447738618
14.5,0.6895589827807441,34.09090708920792,13.043289360452308,1572.0940806649405,961.0457249966094,1849.684099784351,1.7467712007388227,0.030077631890113858
15.0,0.6814131842061159,34.066785137501086,12.866253611168364,1564.3233819158936,961.0457249966094,1849.684099784351,1.7381370910176595,0.030482024341050733
15.5,0.6734086970254799,34.04306826100503,12.692597985022996,1556.676008629292,961.0457249966094,1849.684099784351,1.7296400095881022,0.030887808441364937
16.0,0.6655430698020756,34.01974989006715,12.52225622975265,1549.1510645938274,961.0457249966094,1849.684099784351,1.7212789606598082,0.03129488688084591
16.5,0.6578138936260894,33.99682355343188,12.355163413274305,1541.7475782939455,961.0457249966094,1849.684099784351,1.7130528647710506,0.03170316245707725
17.0,0.6502188013769071,33.974282877060055,12.19125589730588,1534.4645101922695,961.0457249966094,1849.684099784351,1.7049605668802994,0.032112538134406364
17.5,0.642755466998166,33.95212158295118,12.0304713115109,1527.3007595035526,961.0457249966094,1849.684099784351,1.6970008438928363,0.03252291710291243
18.0,0.6354216047853798,33.93033348796915,11.872748528156823,1520.255170493482,961.0457249966094,1849.684099784351,1.6891724116594244,0.032934202837230316
18.5,0.628214968685926,33.90891250267185,11.718027637277046,1513.3265383335552,961.0457249966094,1849.684099784351,1.681473931481728,0.03334629915509394
19.0,0.6211333516111729,33.88785263014521,11.566249922326413,1506.5136145411122,961.0457249966094,1849.684099784351,1.6739040161567913,0.03375911027547211
19.5,0.6141745847605429,33.86714796484203,11.417357836320507,1499.8151120317998,961.0457249966094,1849.684099784351,1.6664612355908888,0.03417254087617453
20.0,0.6073365369572994,33.846792691426195,11.271294978449118,1493.2297098098916,961.0457249966094,1849.684099784351,1.6591441220109906,0.03458649615081396
20.5,0.6006171139958575,33.826781083622365,11.128006071154443,1486.756057320255,961.0457249966094,1849.684099784351,1.6519511748002833,0.035000881865017146
21.0,0.5940142580004174,33.80710750307191,10.987436937664842,1480.392778484239,961.0457249966094,1849.684099784351,1.6448808649824878,0.03541560441178186
21.5,0.5875259467947236,33.78776639819508,10.849534479975077,1474.1384754402352,961.0457249966094,1849.684099784351,1.6379316393780392,0.035830570865885925
22.0,0.5811501932827579,33.76875230305997,10.714246657264185,1467.9917320084148,961.0457249966094,1849.684099784351,1.6311019244537943,0.03624568903725771
22.5,0.5748850448401753,33.7500598362585,10.581522464742356,1461.9511168977683,961.0457249966094,1849.684099784351,1.6243901298864092,0.036660867523225824
23.0,0.568728582716298,33.73168369978976,10.451311912918209,1456.0151866725087,961.0457249966094,1849.684099784351,1.617794651858343,0.03707601575956906
23.5,0.5626789214464826,33.71361867795089,10.323566007278252,1450.1824884937005,961.0457249966094,1849.684099784351,1.6113138761041117,0.03749104407029535
24.0,0.5567342082746821,33.695859636235916,10.198236728370304,1444.4515626510304,961.0457249966094,1849.684099784351,1.6049461807233671,0.03790586371608208
24.5,0.5508926225860248,33.678401520242616,10.07527701228284,1438.8209448985967,961.0457249966094,1849.684099784351,1.5986899387762186,0.03832038694131717
25.0,0.5451523753492366,33.661239354587735,9.954640731512507,1433.2891686077658,961.0457249966094,1849.684099784351,1.5925435206752954,0.038734527019683794
25.5,0.5395117085687363,33.64436824183079,9.83628267621207,1427.8547667492594,961.0457249966094,1849.684099784351,1.586505296388066,0.03914819829823768
26.0,0.533968894746236,33.62778336140653,9.720158535811263,1422.5162737158566,961.0457249966094,1849.684099784351,1.580573637462063,0.03956131623993099
26.5,0.5285222363516808,33.61147996856635,9.606224881003186,1417.2722269963824,961.0457249966094,1849.684099784351,1.5747469188848693,0.03997379746454053
27.0,0.5231700653033673,33.59545339332877,9.494439146089006,1412.1211687109442,961.0457249966094,1849.684099784351,1.569023520789938,0.0403855597879637
27.5,0.5179107424570801,33.57969903943915,9.384759611673882,1407.061647016739,961.0457249966094,1849.684099784351,1.563401830018599,0.040796522259849824
28.0,0.5127426571040916,33.56421238333878,9.277145387707183,1402.0922173931774,961.0457249966094,1849.684099784351,1.5578802415479749,0.041206605199538414
28.5,0.5076642264778696,33.54898897314343,9.171556396860158,1397.2114438144615,961.0457249966094,1849.684099784351,1.5524571597938461,0.04161573023028124
