exposure_type,exposure_value,variable,value,retention,role,source,digitization_note,predicted_retention
freeze_thaw_cycles,0.0,UCS,1.0,1.0,calibration,"Sharma, Satyam, and Reddy (2021), Hybrid bacteria mediated cemented sand; durability reductions reported in abstract; DOI:10.1177/1056789521991196","Numerical reductions are reported in the open abstract: 4.2%, 8.3%, 17%, and 35% after 5, 10, 15, and 20 cycles.",1.0
freeze_thaw_cycles,5.0,UCS,0.958,0.958,calibration,"Sharma, Satyam, and Reddy (2021), Hybrid bacteria mediated cemented sand; durability reductions reported in abstract; DOI:10.1177/1056789521991196","Numerical reductions are reported in the open abstract: 4.2%, 8.3%, 17%, and 35% after 5, 10, 15, and 20 cycles.",0.9576863548484078
freeze_thaw_cycles,10.0,UCS,0.917,0.917,calibration,"Sharma, Satyam, and Reddy (2021), Hybrid bacteria mediated cemented sand; durability reductions reported in abstract; DOI:10.1177/1056789521991196","Numerical reductions are reported in the open abstract: 4.2%, 8.3%, 17%, and 35% after 5, 10, 15, and 20 cycles.",0.9171637549634283
freeze_thaw_cycles,15.0,UCS,0.83,0.83,validation,"Sharma, Satyam, and Reddy (2021), Hybrid bacteria mediated cemented sand; durability reductions reported in abstract; DOI:10.1177/1056789521991196","Numerical reductions are reported in the open abstract: 4.2%, 8.3%, 17%, and 35% after 5, 10, 15, and 20 cycles.",0.8783563892648397
freeze_thaw_cycles,20.0,UCS,0.65,0.65,validation,"Sharma, Satyam, and Reddy (2021), Hybrid bacteria mediated cemented sand; durability reductions reported in abstract; DOI:10.1177/1056789521991196","Numerical reductions are reported in the open abstract: 4.2%, 8.3%, 17%, and 35% after 5, 10, 15, and 20 cycles.",0.8411916555918106
