q_service_kpa,factor_of_safety_50yr,serviceability_index_50yr,interpretation
250,5.012477210485446,0.015953842125259788,typical-to-moderate demand
350,3.5803408646324613,0.022335378975363702,typical-to-moderate demand
500,2.506238605242723,0.031907684250519576,typical-to-moderate demand
650,1.92787585018671,0.04147998952567545,high-demand stress test
800,1.5663991282767018,0.05105229480083132,high-demand stress test
900,1.3923547806904015,0.057433831650935234,high-demand stress test
950,1.3190729501277487,0.060624600075987196,high-demand stress test
