year_0,year_1,year_2,year_3,year_4,year_5,year_6,year_7,year_8,year_9,year_10,year_11,year_12,year_13,year_14,year_15,year_16,year_17,year_18,year_19,year_20,year_21,year_22,year_23,year_24,year_25,year_26,year_27,year_28,year_29,year_30,year_31,year_32,year_33,year_34,year_35,year_36,year_37,year_38,year_39,year_40,year_41,year_42,year_43,year_44,year_45,year_46,year_47,year_48,year_49,year_50
748.9658626309252,574.5564907065921,697.0312530825248,706.9451803705191,736.3468839893693,766.4103178279344,775.0856807820121,754.459624765196,711.3217487834453,670.1203914006504,650.4729241782953,660.4168012350063,692.4358808273377,723.9071429872655,734.0067262389405,714.7456753475049,675.4672510336144,635.4325909539526,616.2700155781691,449.019407096736,659.3477872184754,691.198631338574,701.892996839804,682.4960756139906,642.545876373318,602.3504615435921,582.798250429979,592.8244597142249,623.7967090611563,654.4270203377906,664.2787834166129,644.6176666540534,604.5027298444495,564.3828725001118,545.3713615335802,555.5732693273693,587.9334980693724,620.6966821668644,631.7878505180927,612.545548757887,573.2524604561813,533.467954270881,514.5600236769116,525.931727001978,558.1065029921149,590.3163059364555,601.6113447861148,582.9584279888494,543.6858127577768,505.29484275293714,488.389064314605
728.9525696622313,689.4776703379692,665.8903373966004,678.0690590859746,714.7488871834414,749.8347334643167,758.98666938228,733.1673328631468,683.5498808190393,634.1653292292564,611.0670060752884,623.9058576129593,660.6656430641749,695.7498185538445,707.7995703465989,684.5526756729699,636.5934541051315,587.4910282307313,562.8512827421071,573.0149210914475,608.8759590851605,646.3956787161108,655.7174882708538,631.7207011391628,583.2189572142008,534.2310707502928,509.96697181637956,520.6230059896128,556.8032317691498,592.577506892874,424.4997780596883,579.8281637424672,530.2720788202517,481.1265340275621,457.2234665867186,466.83713161860135,501.39192661501306,536.7710752417488,547.7794257475629,522.4765135697138,470.166384790533,419.2022990749631,393.946893460135,405.8605127211232,443.7849705490197,482.0641747283255,496.24488686437064,474.66088144022115,428.125638312143,204.07382480494584,361.033438105364
1005.547080060504,968.8048646681128,946.1455673173207,954.9853755922865,985.2200608895217,1014.0014121088059,1018.6369978574792,991.4087960408265,944.5160735955734,897.8598949730036,871.6605102148264,878.2298186635386,906.8919661883436,935.6686687820431,942.8983143666824,920.6568068513899,876.4283377541057,831.512057563115,807.8411238961546,815.3834738143165,845.4959596656332,875.342007630725,883.8096605084886,862.0192243772561,818.9918084041345,776.0071871038809,753.393486991662,761.6473015980736,792.5124191677884,823.9135377076132,832.099690999403,810.5225157376016,766.612038013527,722.5307568291358,699.1908729076454,707.7296117250322,737.5841504574227,767.1567637545797,775.018495324751,682.6255710337822,708.8300225713452,666.2628849521363,645.2522434070922,656.0401175735402,689.3761629003104,721.7997903396401,732.2529029078948,711.8466928598348,669.4721773540656,625.8199860337982,604.0571584968202
1038.6744588850997,977.9955062650301,937.1909685866694,935.7335036483155,957.5661383473537,979.5167139194716,977.8261525292379,936.6564193153565,870.7593941254725,807.624335029499,771.9884434334977,775.4094715156239,806.139367628952,689.9621887784982,843.8088489078451,802.1469905414118,732.2553431192173,665.0239191388011,425.85020341504173,625.7657310679733,652.6566684845898,684.0952024852943,689.0462645523309,659.1384023708612,602.0803761139794,546.2797116751462,326.2353912719409,527.4244092693461,564.1949792006424,601.8357934212268,613.5555519210506,586.0281904283507,533.4323626856309,480.5134134607845,454.6737597207082,466.4726218835501,505.59244259768593,545.1236715780708,559.2438861467302,536.7650457537824,486.75164264528155,435.7756484538678,412.0804933005752,426.07060624468863,467.59701601664756,508.4811110611604,522.9690295876231,500.43134763695025,451.6067083857255,403.3818783687699,382.02589470658495
707.1104917637255,655.7979751957664,618.2811682484842,617.6506940732204,643.0601871240661,668.5177706338578,670.2110946627146,638.8767083453448,585.019029464859,530.6557200009436,501.3765744422851,508.95468488700044,540.8395270995799,574.560956403984,428.6464502850996,555.1870629225075,503.82397245186314,452.13601248224154,426.06684116119504,117.95516852411242,471.6151169107303,506.2199115082411,516.3141416423751,489.8695217073084,438.76503565830774,222.77178543449236,363.08477829769777,372.4486007698406,409.18446175683755,446.8480598927739,458.1847663026439,431.6977911785018,380.16679566396965,329.22969898201313,305.8390798105263,319.74960364293315,359.3508491004892,399.4798243876561,413.6244484475709,390.1565358674045,341.0684936601888,292.2282387236522,269.14905047671914,282.3302082324002,321.2908841449073,360.1142303211626,374.6530041381883,353.182564937773,304.64829213244866,256.6277208320929,235.06959981393993
903.1345205988125,860.3602979239613,833.1972234843494,842.48341956019,878.8528031966428,915.0224683419573,924.5250251003847,894.751963439906,835.6252781918106,776.0062676203872,742.5685442472585,745.8184111629046,775.9283317344257,574.3879163539668,801.2172025702603,766.711604128965,570.3834982753999,648.5038062340991,614.5637806769663,616.6048293927661,645.0027292025086,674.944502296588,681.2290199384481,646.5271128990308,586.2625404420098,527.295891792746,495.583470832766,504.82418504286716,539.323841955671,362.9414550420263,584.6882901557212,558.9273716068363,502.7344458054919,448.82468595156456,421.1302627741983,431.5667404477665,470.03125008054553,509.7921743357141,326.09604330175125,499.24658902767703,449.5998752429415,400.5738959090346,377.2478154108013,390.58605394675214,430.59717642004125,468.8429920675177,481.56154877426525,457.478133908891,407.648714779379,359.05151344070885,336.8391977747709
755.6957802182807,705.2382729513793,660.8204907050547,573.4624100235175,683.7457050999433,707.7200198546509,708.191518021464,670.6921779126253,608.3497107445801,546.0103909191178,505.884564638513,507.5715548100868,533.4958800379341,562.3040940868291,568.5234044683365,539.9992779357088,485.0092501063989,429.34112075634835,401.02107095484826,408.0810630210665,441.7742089725639,475.6186916316258,485.0088066115021,457.59166653532577,402.7639131716744,350.56644456018626,324.4654306544753,335.82759584560586,373.5033044928084,412.1692951826408,427.12900793085953,405.2011175810661,357.0490933589987,309.28560923515784,287.9054793733021,302.99119796931836,344.45182821026356,385.9418878750971,401.6311303970423,380.18083837585516,332.9122888105884,286.26271407413844,265.05093992072284,281.0153101310186,323.13409085565297,365.1672471892223,381.32388698844863,360.57402773030617,313.93949884612255,267.50764558879666,247.2808603172548
1089.5986606955737,1050.760313406733,1025.101447055607,1032.1941320141302,1065.9910950363487,1098.4504022122237,1108.1305184852745,1083.729955225726,1033.5534061275935,984.8228836588619,959.2437303245962,968.4741092223949,999.7173665278171,1030.410930305155,1036.0890129187528,1008.7991574177672,959.4666506233191,909.4854720722115,884.1249142463979,894.3976460336328,927.3415271090307,960.3534313171118,969.7698487981916,946.9496916660271,897.7920350687389,847.3486114480297,821.2266615481018,830.2737187642219,864.0350215767996,896.3001758912775,906.019424317896,882.0138096989022,835.3832056608329,789.5470459974013,768.2083320019564,779.1041345773776,812.1239727746442,844.1620961082607,849.8992952491192,821.733568589591,773.9460587434138,728.9148546027196,708.3144437347563,720.6838680320504,757.6133302326226,794.6940119795335,807.9955614358903,787.657407128325,743.8373951440213,699.8337151649811,679.6089155568753
736.3340638582749,686.6884157879565,655.5701530306324,658.4669847349815,686.6675268050568,711.5002118313449,712.6507409485772,680.4429463210387,620.6212666329255,565.5220331157018,537.6080542354787,545.335272206733,575.3003617682956,603.8099835876184,609.1957317084722,580.181322810656,526.3394114742383,471.4947254220433,166.5082971906536,279.46104193329893,472.88353105464137,504.42839691791266,512.1357111567676,482.87967207917904,429.66834882197224,377.09187866934735,351.63146404443637,360.97801526783815,398.6188006050676,435.2788433389809,446.59728684474146,422.5550856889547,371.94120830263546,320.69249829830824,295.15917729420266,305.07316441822604,341.04103779614763,377.63432027819397,389.2584952504511,365.8786706082542,317.7695391445177,269.29780450643807,246.14165717178116,258.89746345849676,296.7951010244259,336.16068086777875,350.17219204878245,328.04087312919125,281.6657487515113,235.54299109911335,215.29426414156865
1076.8312040040582,1028.4518934192236,991.7260269242545,985.6932554487207,1005.7976571637315,1021.2924162555449,1012.0250702955651,968.3409938335291,902.5144383794135,834.4204861997646,796.9790049761898,789.4319592562156,807.57326040331,824.2236669498328,815.7389129986951,777.5321499679637,717.5810199411477,663.3557213470049,636.7649103121696,642.9371142616333,672.225246952452,702.9014638503182,710.3967827483224,685.3105826369876,638.5877331713394,592.2853761119718,570.3804709027299,581.0328013564715,504.3245089398371,648.4052538741756,660.0222482087969,640.2952645381647,597.8657445906281,555.3482981252284,536.020426284985,548.1761172065355,582.4838537690283,615.2567308837464,624.3457192740367,601.9644486662573,557.4878103441554,513.5111257677753,492.4333583952873,505.24586687260717,540.5512478153271,576.1482694595644,589.6550486236414,570.4304248346115,528.1473708796966,486.6603223897213,467.73351611201565
