varied_parameter,value,qu50,sI50,beta50,pf50,stiffness50
kH,0.25,883.0367161392642,0.04524918932572661,-0.5833304257111827,0.7201645579066203,1.325990606551856
kH,0.2728813559322034,882.121932095598,0.04524918932572661,-0.591912483844047,0.7230454031285782,1.325990606551856
kH,0.2957627118644068,881.0696559152595,0.04524918932572661,-0.6018064661251509,0.7263485147722777,1.325990606551856
kH,0.31864406779661014,879.8982843149365,0.04524918932572661,-0.6128480716700345,0.7300115991362046,1.325990606551856
kH,0.34152542372881356,878.6267533021213,0.04524918932572661,-0.6248671264967517,0.7339708652432937,1.325990606551856
kH,0.364406779661017,877.2733150225722,0.04524918932572661,-0.6376986837602736,0.7381650787349623,1.325990606551856
kH,0.38728813559322034,875.8548436670742,0.04524918932572661,-0.6511893614918677,0.7425378715464985,1.325990606551856
kH,0.4101694915254237,874.3865012268901,0.04524918932572661,-0.6652004547629263,0.7470388551640627,1.325990606551856
kH,0.4330508474576271,872.8816341206377,0.04524918932572661,-0.6796089823445992,0.7516239596737964,1.325990606551856
kH,0.45593220338983054,871.3518094605768,0.04524918932572661,-0.6943074823555047,0.756255300192151,1.325990606551856
kH,0.4788135593220339,869.8069295332415,0.04524918932572661,-0.7092031022933398,0.760900775692683,1.325990606551856
kH,0.5016949152542373,868.255384726026,0.04524918932572661,-0.7242163353529207,0.7655335343132922,1.325990606551856
kH,0.5245762711864407,866.7042201082592,0.04524918932572661,-0.7392796221968004,0.7701313896844426,1.325990606551856
kH,0.5474576271186441,865.159300886886,0.04524918932572661,-0.7543359491593741,0.7746762393667928,1.325990606551856
kH,0.5703389830508474,863.6254684699912,0.04524918932572661,-0.7693375167418961,0.7791535144878567,1.325990606551856
kH,0.5932203389830508,862.1066830013067,0.04524918932572661,-0.7842445161168786,0.7835516755468149,1.325990606551856
kH,0.6161016949152542,860.6061507735812,0.04524918932572661,-0.7990240290884105,0.7878617605292452,1.325990606551856
kH,0.6389830508474577,859.1264364391888,0.04524918932572661,-0.8136490536870115,0.7920769861378971,1.325990606551856
kH,0.6618644067796611,857.6695607840055,0.04524918932572661,-0.8280976500624658,0.7961923998758507,1.325990606551856
kH,0.6847457627118644,856.2370852616218,0.04524918932572661,-0.8423521974347082,0.8002045790938357,1.325990606551856
kH,0.7076271186440678,854.8301846602989,0.04524918932572661,-0.8563987511788732,0.8041113723917883,1.325990606551856
kH,0.7305084745762712,853.4497092986367,0.04524918932572661,-0.8702264887605222,0.8079116785913947,1.325990606551856
kH,0.7533898305084745,852.0962380838344,0.04524918932572661,-0.8838272336316627,0.8116052586424498,1.325990606551856
kH,0.7762711864406779,850.7701236601735,0.04524918932572661,-0.8971950469907186,0.815192576145252,1.325990606551856
kH,0.7991525423728814,849.4715307503436,0.04524918932572661,-0.9103258782810436,0.8186746625725689,1.325990606551856
kH,0.8220338983050848,848.2004686636274,0.04524918932572661,-0.9232172663213208,0.822053003701877,1.325990606551856
kH,0.8449152542372882,846.956818821319,0.04524918932572661,-0.9358680839522767,0.825329444188695,1.325990606551856
kH,0.8677966101694915,845.7403580355949,0.04524918932572661,-0.9482783200069131,0.8285061076064782,1.325990606551856
kH,0.8906779661016949,844.5507781753237,0.04524918932572661,-0.9604488932475159,0.8315853296386977,1.325990606551856
kH,0.9135593220338983,843.3877027614823,0.04524918932572661,-0.9723814936561557,0.8345696024309561,1.325990606551856
kH,0.9364406779661016,842.2507009555404,0.04524918932572661,-0.9840784471180987,0.8374615283953083,1.325990606551856
kH,0.9593220338983051,841.1392993355314,0.04524918932572661,-0.9955426001053614,0.840263782007289,1.325990606551856
kH,0.9822033898305085,840.0529917954987,0.04524918932572661,-1.0067772214584172,0.8429790783514519,1.325990606551856
kH,1.005084745762712,838.991247853493,0.04524918932572661,-1.0177859187860885,0.8456101473567825,1.325990606551856
kH,1.0279661016949153,837.9535196101929,0.04524918932572661,-1.0285725673656234,0.8481597128226708,1.325990606551856
kH,1.0508474576271185,836.93924756357,0.04524918932572661,-1.039141249734244,0.8506304754723653,1.325990606551856
kH,1.0737288135593221,835.9478654538677,0.04524918932572661,-1.0494962044277636,0.85302509938714,1.325990606551856
kH,1.0966101694915253,834.9788042867542,0.04524918932572661,-1.05964178254706,0.8553462012734274,1.325990606551856
kH,1.1194915254237288,834.031495660105,0.04524918932572661,-1.0695824110253247,0.8575963420993987,1.325990606551856
kH,1.1423728813559322,833.1053745009,0.04524918932572661,-1.0793225616325473,0.8597780207090058,1.325990606551856
kH,1.1652542372881356,832.199881302637,0.04524918932572661,-1.0888667248931672,0.8618936690822128,1.325990606551856
kH,1.188135593220339,831.314463940035,0.04524918932572661,-1.0982193882116615,0.8639456489616445,1.325990606551856
kH,1.2110169491525424,830.4485791262605,0.04524918932572661,-1.1073850176021096,0.8659362496095173,1.325990606551856
kH,1.2338983050847459,829.6016935681088,0.04524918932572661,-1.1163680425042686,0.8678676864957142,1.325990606551856
kH,1.256779661016949,828.7732848662743,0.04524918932572661,-1.1251728432424273,0.8697421007491947,1.325990606551856
kH,1.2796610169491525,827.9628422007904,0.04524918932572661,-1.1338037407463397,0.8715615592314641,1.325990606551856
kH,1.3025423728813559,827.1698668357341,0.04524918932572661,-1.1422649882074296,0.8733280551132983,1.325990606551856
kH,1.3254237288135593,826.3938724722025,0.04524918932572661,-1.1505607643895317,0.8750435088549416,1.325990606551856
kH,1.3483050847457627,825.6343854742486,0.04524918932572661,-1.15869516835288,0.8767097695060866,1.325990606551856
kH,1.3711864406779661,824.8909449887742,0.04524918932572661,-1.166672215383932,0.878328616255585,1.325990606551856
kH,1.3940677966101696,824.1631029772554,0.04524918932572661,-1.174495833952545,0.8799017601723461,1.325990606551856
kH,1.416949152542373,823.4504241745009,0.04524918932572661,-1.1821698635429603,0.8814308460886386,1.325990606551856
kH,1.4398305084745764,822.7524859873696,0.04524918932572661,-1.1896980532264403,0.8829174545852492,1.325990606551856
kH,1.4627118644067796,822.0688783444386,0.04524918932572661,-1.1970840608617515,0.88436310404491,1.325990606551856
kH,1.485593220338983,821.3992035059507,0.04524918932572661,-1.2043314528255502,0.8857692527462961,1.325990606551856
kH,1.5084745762711864,820.7430758419646,0.04524918932572661,-1.2114437041882993,0.8871373009758425,1.325990606551856
kH,1.5313559322033898,820.1001215854182,0.04524918932572661,-1.2184241992631462,0.8884685931388356,1.325990606551856
kH,1.5542372881355933,819.4699785657928,0.04524918932572661,-1.2252762324652091,0.8897644198547274,1.325990606551856
kH,1.5771186440677967,818.8522959281745,0.04524918932572661,-1.2320030094275822,0.8910260200246225,1.325990606551856
kH,1.6,818.2467338417702,0.04524918932572661,-1.2386076483277462,0.8922545828613393,1.325990606551856
kE,0.25,855.2962513227749,0.043414351782787686,-0.8517404037648153,0.8028209048946049,1.3820314604763477
kE,0.2728813559322034,855.2962513227749,0.04350376297232581,-0.8517404037648153,0.8028209048946049,1.3791910377538603
kE,0.2957627118644068,855.2962513227749,0.043607069225438,-0.8517404037648153,0.8028209048946049,1.3759236992014876
kE,0.31864406779661014,855.2962513227749,0.0437226461609415,-0.8517404037648153,0.8028209048946049,1.3722865669919002
kE,0.34152542372881356,855.2962513227749,0.043848801102293736,-0.8517404037648153,0.8028209048946049,1.3683384378064876
kE,0.364406779661017,855.2962513227749,0.04398388479094161,-0.8517404037648153,0.8028209048946049,1.3641359849222976
kE,0.38728813559322034,855.2962513227749,0.04412635542625805,-0.8517404037648153,0.8028209048946049,1.3597316030386706
kE,0.4101694915254237,855.2962513227749,0.0442748105766532,-0.8517404037648153,0.8028209048946049,1.35517237044124
kE,0.4330508474576271,855.2962513227749,0.044427998580708,-0.8517404037648153,0.8028209048946049,1.3504997280263227
kE,0.45593220338983054,855.2962513227749,0.044584817532741336,-0.8517404037648153,0.8028209048946049,1.3457495919084643
kE,0.4788135593220339,855.2962513227749,0.044744307239504365,-0.8517404037648153,0.8028209048946049,1.3409527088850872
kE,0.5016949152542373,855.2962513227749,0.04490563760768247,-0.8517404037648153,0.8028209048946049,1.3361351312765946
kE,0.5245762711864407,855.2962513227749,0.04506809561098832,-0.8517404037648153,0.8028209048946049,1.3313187341639314
kE,0.5474576271186441,855.2962513227749,0.04523107212067339,-0.8517404037648153,0.8028209048946049,1.326521729131782
kE,0.5703389830508474,855.2962513227749,0.04539404932604547,-0.8517404037648153,0.8028209048946049,1.3217591488489255
kE,0.5932203389830508,855.2962513227749,0.045556589120443594,-0.8517404037648153,0.8028209048946049,1.3170432896407274
kE,0.6161016949152542,855.2962513227749,0.045718322612209095,-0.8517404037648153,0.8028209048946049,1.3123841071101978
kE,0.6389830508474577,855.2962513227749,0.04587894079155938,-0.8517404037648153,0.8028209048946049,1.3077895645541702
kE,0.6618644067796611,855.2962513227749,0.04603818631114313,-0.8517404037648153,0.8028209048946049,1.3032659365531423
kE,0.6847457627118644,855.2962513227749,0.04619584629965754,-0.8517404037648153,0.8028209048946049,1.2988180714516921
kE,0.7076271186440678,855.2962513227749,0.04635174611081449,-0.8517404037648153,0.8028209048946049,1.2944496169908297
kE,0.7305084745762712,855.2962513227749,0.0465057439055596,-0.8517404037648153,0.8028209048946049,1.290163213426787
kE,0.7533898305084745,855.2962513227749,0.04665772596833998,-0.8517404037648153,0.8028209048946049,1.2859606582779781
kE,0.7762711864406779,855.2962513227749,0.046807602664981345,-0.8517404037648153,0.8028209048946049,1.2818430465119381
kE,0.7991525423728814,855.2962513227749,0.046955304958290214,-0.8517404037648153,0.8028209048946049,1.2778108895959086
kE,0.8220338983050848,855.2962513227749,0.04710078140658946,-0.8517404037648153,0.8028209048946049,1.273864216435397
kE,0.8449152542372882,855.2962513227749,0.047243995579307294,-0.8517404037648153,0.8028209048946049,1.2700026588411542
kE,0.8677966101694915,855.2962513227749,0.04738492383208186,-0.8517404037648153,0.8028209048946049,1.2662255238105318
kE,0.8906779661016949,855.2962513227749,0.047523553391430676,-0.8517404037648153,0.8028209048946049,1.2625318545902133
kE,0.9135593220338983,855.2962513227749,0.04765988070580516,-0.8517404037648153,0.8028209048946049,1.2589204822053146
kE,0.9364406779661016,855.2962513227749,0.04779391002581323,-0.8517404037648153,0.8028209048946049,1.255390068893596
kE,0.9593220338983051,855.2962513227749,0.04792565218159742,-0.8517404037648153,0.8028209048946049,1.2519391446703967
kE,0.9822033898305085,855.2962513227749,0.04805512352986681,-0.8517404037648153,0.8028209048946049,1.2485661380666166
kE,1.005084745762712,855.2962513227749,0.04818234504697449,-0.8517404037648153,0.8028209048946049,1.2452694019252095
kE,1.0279661016949153,855.2962513227749,0.04830734154778032,-0.8517404037648153,0.8028209048946049,1.2420472350078422
kE,1.0508474576271185,855.2962513227749,0.048430141012912056,-0.8517404037648153,0.8028209048946049,1.238897900049543
kE,1.0737288135593221,855.2962513227749,0.04855077400949982,-0.8517404037648153,0.8028209048946049,1.2358196388024614
kE,1.0966101694915253,855.2962513227749,0.04866927319256642,-0.8517404037648153,0.8028209048946049,1.2328106845278346
kE,1.1194915254237288,855.2962513227749,0.04878567287605975,-0.8517404037648153,0.8028209048946049,1.2298692723257154
kE,1.1423728813559322,855.2962513227749,0.048900008664056,-0.8517404037648153,0.8028209048946049,1.2269936476330945
kE,1.1652542372881356,855.2962513227749,0.04901231713398371,-0.8517404037648153,0.8028209048946049,1.224182073171108
kE,1.188135593220339,855.2962513227749,0.04912263556484835,-0.8517404037648153,0.8028209048946049,1.2214328345797345
kE,1.2110169491525424,855.2962513227749,0.04923100170440637,-0.8517404037648153,0.8028209048946049,1.2187442449425065
kE,1.2338983050847459,855.2962513227749,0.04933745357006721,-0.8517404037648153,0.8028209048946049,1.216114648373375
kE,1.256779661016949,855.2962513227749,0.049442029279014275,-0.8517404037648153,0.8028209048946049,1.2135424228120641
kE,1.2796610169491525,855.2962513227749,0.04954476690364722,-0.8517404037648153,0.8028209048946049,1.2110259821523779
kE,1.3025423728813559,855.2962513227749,0.0496457043489737,-0.8517404037648153,0.8028209048946049,1.208563777809315
kE,1.3254237288135593,855.2962513227749,0.04974487924903071,-0.8517404037648153,0.8028209048946049,1.2061542998150732
kE,1.3483050847457627,855.2962513227749,0.04984232887980511,-0.8517404037648153,0.8028209048946049,1.2037960775205776
kE,1.3711864406779661,855.2962513227749,0.04993809008645863,-0.8517404037648153,0.8028209048946049,1.2014876799677565
kE,1.3940677966101696,855.2962513227749,0.05003219922295229,-0.8517404037648153,0.8028209048946049,1.1992277159880467
kE,1.416949152542373,855.2962513227749,0.05012469210241543,-0.8517404037648153,0.8028209048946049,1.1970148340743363
kE,1.4398305084745764,855.2962513227749,0.050215603956820704,-0.8517404037648153,0.8028209048946049,1.1948477220664853
