time_year,mean_q_u_kpa,cov_q_u,pf_ultimate,pf_ci95_half_width,beta_ultimate,p_service_index_gt_0_045
0.0,1837.0537750403582,0.21747663037741735,0.005641666666666666,0.0004237801579686842,2.5337993084239203,0.0030833333333333333
0.5,1826.0387444069192,0.21721604312865261,0.005866666666666667,0.0004320992105558201,2.5200644948726914,0.003525
1.0,1815.1108564291094,0.2169827771521258,0.006166666666666667,0.0004429426143753044,2.5024606546564745,0.004225
1.5,1804.2799925569907,0.21677669903431337,0.006475,0.0004538107031847089,2.485141359490121,0.004933333333333333
2.0,1793.5546840832094,0.21659736878337135,0.0069,0.00046836721191817005,2.4624276813831973,0.005658333333333333
2.5,1782.942262340806,0.21644409849525256,0.007308333333333333,0.00048192761219821594,2.441740063281219,0.006608333333333333
3.0,1772.448991433704,0.21631600361985306,0.007733333333333333,0.0004956361953721328,2.421263378386915,0.007858333333333333
3.5,1762.080185735836,0.2162120473065517,0.0082,0.0005102516602618751,2.3998899842914176,0.009241666666666667
4.0,1751.840314076201,0.21613107843357207,0.008733333333333333,0.0005264422272266991,2.376734256341719,0.010758333333333333
4.5,1741.733092258958,0.21607186396849523,0.009291666666666667,0.0005428566559099564,2.353785455399445,0.012408333333333334
5.0,1731.7615653411372,0.21603311630182787,0.009866666666666666,0.000559239086007513,2.331379959066944,0.014458333333333333
5.5,1721.9281808985038,0.21601351616297873,0.010475,0.0005760442549477716,2.308884343699316,0.016916666666666667
6.0,1712.2348543468067,0.21601173168150348,0.011008333333333334,0.0005903676479761166,2.290080221903502,0.019466666666666667
6.5,1702.6830272463158,0.21602643410411426,0.011558333333333334,0.0006047676862134442,2.2715009972920575,0.022308333333333333
7.0,1693.2737193983164,0.21605631062458844,0.012233333333333334,0.0006219636968207735,2.2497209201663755,0.025725
7.5,1684.007575439926,0.21610007473213866,0.013016666666666666,0.0006413133042581594,2.225714165220137,0.029475
8.0,1674.884906555545,0.21615647443556538,0.013766666666666667,0.000659279672358541,2.2038721973167124,0.033758333333333335
8.5,1665.9057278473017,0.21622429867631943,0.014558333333333333,0.000677698834012053,2.181903348543941,0.038641666666666664
9.0,1657.0697918411486,0.21630238220369954,0.015358333333333333,0.0006957874607307788,2.1607239893938304,0.043833333333333335
9.5,1648.376618548308,0.21638960914975142,0.016116666666666668,0.0007124835834651964,2.141505029433375,0.04949166666666667
10.0,1639.8255224522713,0.216484915509801,0.017075,0.0007330034101273563,2.1182960849668393,0.0555
10.5,1631.4156367484684,0.21658729070665256,0.017875,0.0007496729774541696,2.099759529296604,0.06120833333333333
11.0,1623.145935126076,0.21669577839198048,0.0189,0.0007704651304244728,2.0770168940168245,0.068
11.5,1615.0152513485928,0.21680947661699107,0.019716666666666667,0.0007866073586659403,2.0596361946771693,0.07500833333333333
12.0,1607.0222968609507,0.21692753748571209,0.020533333333333334,0.000802398313797571,2.0428562868372735,0.082575
12.5,1599.1656766256644,0.2170491663879637,0.021441666666666668,0.0008195738222184385,2.024844506747963,0.09051666666666666
13.0,1591.4439033682893,0.2171736208948939,0.022325,0.0008359079143412469,2.007936875429146,0.09915
13.5,1583.855410392845,0.21730020938767106,0.023308333333333334,0.0008536892243922953,1.9897664696746895,0.10765
14.0,1576.3985631106298,0.21742828947927498,0.02420833333333333,0.0008696138462809331,1.973692955524601,0.11678333333333334
14.5,1569.071669410524,0.2175572662801261,0.025291666666666667,0.0008883651488856536,1.9549977712531879,0.12678333333333333
15.0,1561.8729889854428,0.21768659055033326,0.026166666666666668,0.0009031959204628533,1.9403815813379741,0.13661666666666666
15.5,1554.8007417175525,0.2178157567744968,0.027283333333333333,0.0009217376798662324,1.9223107617185646,0.14690833333333334
16.0,1547.853115214306,0.2179443011890915,0.028616666666666665,0.0009433444410633823,1.9015246010523101,0.15748333333333334
16.5,1541.0282715778671,0.21807179978739258,0.029716666666666666,0.0009607597057865004,1.884974109899923,0.16836666666666666
17.0,1534.3243534821117,0.21819786632255375,0.030775,0.0009771849800958876,1.8695236244087226,0.179225
17.5,1527.7394896239114,0.21832215032572053,0.031875,0.000993931060549473,1.853924236041694,0.190875
18.0,1521.2717996087154,0.21844433515288186,0.03303333333333333,0.0010112240731941695,1.8379710817064945,0.20256666666666667
18.5,1514.9193983245023,0.21856413607144823,0.03436666666666666,0.0010307189913338632,1.8201685999051898,0.21378333333333333
19.0,1508.6803998528321,0.21868129839523306,0.035758333333333336,0.0010506233039376445,1.8021826934135472,0.22565833333333332
19.5,1502.5529209609601,0.21879559567456291,0.03688333333333333,0.001066399614193409,1.7880579016379319,0.23680833333333334
20.0,1496.5350842147045,0.2189068279465787,0.038025,0.0010821362674474043,1.7740795070156978,0.24836666666666668
20.5,1490.6250207479256,0.21901482004940162,0.03916666666666667,0.0010976093170900851,1.7604394034111157,0.260975
21.0,1484.8208727210304,0.21911942000266293,0.040516666666666666,0.0011155807719134294,1.7447216470597442,0.27325
21.5,1479.1207954978247,0.21922049745592098,0.0418,0.0011323525761881765,1.7301694770882556,0.28526666666666667
22.0,1473.5229595672674,0.21931794220567438,0.0429,0.0011464965508888373,1.7179814436908842,0.2977416666666667
22.5,1468.0255522341497,0.21941166278101223,0.04434166666666667,0.0011647233452146322,1.7023843953863746,0.309625
23.0,1462.6267791005027,0.21950158509739012,0.045575,0.0011800480465889232,1.689362410051959,0.3218916666666667
23.5,1457.3248653574783,0.21958765117757564,0.04695833333333333,0.001196954742010447,1.6750895311694347,0.334025
24.0,1452.1180569056157,0.21966981793845214,0.04829166666666666,0.0012129795569309515,1.6616481981326618,0.34615
24.5,1447.0046213197652,0.21974805604208117,0.049666666666666665,0.0012292378843398444,1.6480942438286568,0.358475
25.0,1441.982848673424,0.21982234880921048,0.05098333333333333,0.0012445618418618332,1.6353931060869527,0.37040833333333334
25.5,1437.0510522359014,0.21989269119324462,0.0522,0.0012585169004824689,1.623886660628952,0.3821
26.0,1432.2075690544862,0.21995908881257925,0.053658333333333336,0.0012749936415524096,1.610372012834671,0.3939416666666667
26.5,1427.4507604327011,0.2200215570391129,0.055266666666666665,0.0012928606091173972,1.5958005372099475,0.40628333333333333
27.0,1422.7790123147058,0.22008012014070383,0.0566,0.0013074394947887008,1.583972400126893,0.41799166666666665
27.5,1418.1907355850094,0.22013481047531214,0.05794166666666667,0.0013219037598013149,1.5722899042085443,0.42954166666666665
28.0,1413.684366291816,0.22018566773456777,0.0592,0.001335288030651065,1.5615247027016508,0.4411583333333333
28.5,1409.2583658015892,0.22023273823451683,0.06029166666666667,0.0013467613122595534,1.5523297903791298,0.45261666666666667
29.0,1404.9112208917247,0.22027607425133117,0.06161666666666667,0.0013605192508077636,1.5413429811726822,0.4639583333333333
29.5,1400.641443787614,0.2203157333998062,0.062925,0.0013739288285515372,1.530673930000173,0.4754083333333333
30.0,1396.4475721498054,0.22035177805252354,0.06449166666666667,0.0013897640678663438,1.5181232406998308,0.4869583333333333
30.5,1392.3281690164695,0.22038427479761077,0.06580833333333333,0.001402890869739722,1.5077572518225166,0.49756666666666666
31.0,1388.2818227059036,0.22041329393309556,0.0671,0.001415612063572974,1.4977431355767825,0.5078916666666666
31.5,1384.3071466833758,0.22043890899591817,0.06856666666666666,0.0014298742817102125,1.4865513943634188,0.5188333333333334
32.0,1380.4027793962437,0.2204611963237355,0.06993333333333333,0.0014429942573022968,1.476287729918173,0.52905
32.5,1376.567384080912,0.22048023464772123,0.07139166666666667,0.001456818665128142,1.4655044713744927,0.539775
33.0,1372.7996485448787,0.22049610471463957,0.07274166666666666,0.001469458903360601,1.45567192928629,0.5501916666666666
33.5,1369.0982849268314,0.22050888893654227,0.07415833333333334,0.001482565158582758,1.4455029440440306,0.559525
34.0,1365.4620294374752,0.22051867106651113,0.07545,0.00149437733431018,1.4363597504575394,0.5691
34.5,1361.8896420835513,0.22052553589893747,0.0769,0.0015074849800910124,1.4262368018077258,0.5781583333333333
35.0,1358.3799063772562,0.22052956899290296,0.07820833333333334,0.001519176915847367,1.4172266699557137,0.58775
35.5,1354.9316290330944,0.22053085641729198,0.07963333333333333,0.0015317692132471694,1.4075422212726758,0.597275
36.0,1351.543639653996,0.22052948451633222,0.0809,0.001542840718458433,1.3990432963340236,0.6061833333333333
36.5,1348.2147904083597,0.22052553969432906,0.08235833333333334,0.0015554490338659862,1.3893818492122885,0.6147416666666666
37.0,1344.9439556995505,0.22051910821841267,0.08359166666666666,0.0015659989098900586,1.381311078493276,0.6234
37.5,1341.7300318292014,0.22051027603818923,0.08499166666666666,0.001577851568501073,1.3722573640682079,0.6311
38.0,1338.57193665558,0.22049912862123316,0.086425,0.001589854006795907,1.3631031632530233,0.63935
38.5,1335.4686092481363,0.22048575080342273,0.08770833333333333,0.0016004891394609362,1.3550027945719096,0.6470166666666667
39.0,1332.4190095392414,0.22047022665317054,0.08905833333333334,0.0016115656932723552,1.3465765008476234,0.6542833333333333
39.5,1329.4221179740555,0.22045263934864956,0.09030833333333334,0.0016217222309285778,1.338858731403213,0.6614666666666666
40.0,1326.476935159329,0.22043307106717067,0.09159166666666667,0.001632051970032806,1.3310172551664368,0.668725
40.5,1323.5824815119033,0.22041160288590736,0.09275,0.001641292163459429,1.324009167753124,0.676025
41.0,1320.7377969075694,0.2203883146932124,0.094025,0.0016513731772855986,1.316369661682534,0.6832166666666667
41.5,1317.9419403308939,0.2203632851098126,0.095225,0.0016607766685073383,1.3092490561535106,0.6903833333333333
42.0,1315.1939895265473,0.2203365914192068,0.09653333333333333,0.0016709373496422986,1.3015605101795291,0.6976083333333334
42.5,1312.4930406526232,0.22030830950663313,0.097925,0.0016816420633590054,1.29346581492595,0.704425
43.0,1309.8382079363716,0.22027851380600502,0.0993,0.0016921160854976825,1.2855504472598989,0.7111666666666666
43.5,1307.2286233327327,0.22024727725425428,0.10069166666666667,0.001702615261642175,1.277620316972142,0.7175833333333334
44.0,1304.6634361860104,0.22021467125254765,0.10198333333333333,0.001712270002331754,1.270331234574192,0.723875
44.5,1302.141812894981,0.2201807656338783,0.10314166666666667,0.0017208556604069469,1.2638514975348663,0.729725
45.0,1299.6629365817055,0.22014562863656184,0.10419166666666667,0.0017285800245542475,1.2580232904632678,0.7353416666666667
45.5,1297.226006764267,0.22010932688319373,0.10545,0.001737765017860585,1.2510945053233038,0.74125
46.0,1294.8302390336394,0.22007192536465353,0.10673333333333333,0.001747052873316364,1.2440893868871856,0.74705
46.5,1292.4748647348572,0.2200334874287642,0.10799166666666667,0.0017560829490656394,1.2372795066519677,0.7525166666666666
47.0,1290.159130652628,0.21999407477324107,0.109025,0.0017634423043179873,1.231729891354801,0.7576
47.5,1287.8822987015226,0.2199537474425837,0.11015,0.0017713978020290455,1.2257307885316437,0.76295
48.0,1285.6436456208296,0.2199125638285917,0.11140833333333333,0.0017802270879485405,1.2190725256637827,0.7679666666666667
48.5,1283.442462674179,0.21987058067419626,0.112725,0.0017893887096785315,1.2121629782897447,0.7733916666666667
49.0,1281.278055353982,0.21982785308032868,0.11389166666666667,0.0017974417827874662,1.2060885912552246,0.7783916666666667
