time_year,scenario,S_chem,S_flow,S_WD,S_env
36.0,A,1.0,1.0,1.0,1.0
36.25,A,1.0,1.0,1.0,1.0
36.5,A,1.0,1.0,1.0,1.0
36.75,A,1.0,1.0,1.0,1.0
37.0,A,1.0,1.0,1.0,1.0
37.25,A,1.0,1.0,1.0,1.0
37.5,A,1.0,1.0,1.0,1.0
37.75,A,1.0,1.0,1.0,1.0
38.0,A,1.0,1.0,1.0,1.0
38.25,A,1.0,1.0,1.0,1.0
38.5,A,1.0,1.0,1.0,1.0
38.75,A,1.0,1.0,1.0,1.0
39.0,A,1.0,1.0,1.0,1.0
39.25,A,1.0,1.0,1.0,1.0
39.5,A,1.0,1.0,1.0,1.0
39.75,A,1.0,1.0,1.0,1.0
40.0,A,1.0,1.0,1.0,1.0
40.25,A,1.0,1.0,1.0,1.0
40.5,A,1.0,1.0,1.0,1.0
40.75,A,1.0,1.0,1.0,1.0
41.0,A,1.0,1.0,1.0,1.0
41.25,A,1.0,1.0,1.0,1.0
41.5,A,1.0,1.0,1.0,1.0
41.75,A,1.0,1.0,1.0,1.0
42.0,A,1.0,1.0,1.0,1.0
42.25,A,1.0,1.0,1.0,1.0
42.5,A,1.0,1.0,1.0,1.0
42.75,A,1.0,1.0,1.0,1.0
43.0,A,1.0,1.0,1.0,1.0
43.25,A,1.0,1.0,1.0,1.0
43.5,A,1.0,1.0,1.0,1.0
43.75,A,1.0,1.0,1.0,1.0
44.0,A,1.0,1.0,1.0,1.0
44.25,A,1.0,1.0,1.0,1.0
44.5,A,1.0,1.0,1.0,1.0
44.75,A,1.0,1.0,1.0,1.0
45.0,A,1.0,1.0,1.0,1.0
45.25,A,1.0,1.0,1.0,1.0
45.5,A,1.0,1.0,1.0,1.0
45.75,A,1.0,1.0,1.0,1.0
46.0,A,1.0,1.0,1.0,1.0
46.25,A,1.0,1.0,1.0,1.0
46.5,A,1.0,1.0,1.0,1.0
46.75,A,1.0,1.0,1.0,1.0
47.0,A,1.0,1.0,1.0,1.0
47.25,A,1.0,1.0,1.0,1.0
47.5,A,1.0,1.0,1.0,1.0
47.75,A,1.0,1.0,1.0,1.0
48.0,A,1.0,1.0,1.0,1.0
48.25,A,1.0,1.0,1.0,1.0
48.5,A,1.0,1.0,1.0,1.0
48.75,A,1.0,1.0,1.0,1.0
49.0,A,1.0,1.0,1.0,1.0
49.25,A,1.0,1.0,1.0,1.0
49.5,A,1.0,1.0,1.0,1.0
49.75,A,1.0,1.0,1.0,1.0
50.0,A,1.0,1.0,1.0,1.0
0.0,B,1.45,0.75,0.65,1.045
0.25,B,1.45,0.75,0.65,1.045
0.5,B,1.45,0.75,0.65,1.045
0.75,B,1.45,0.75,0.65,1.045
1.0,B,1.45,0.75,0.65,1.045
1.25,B,1.45,0.75,0.65,1.045
1.5,B,1.45,0.75,0.65,1.045
1.75,B,1.45,0.75,0.65,1.045
2.0,B,1.45,0.75,0.65,1.045
2.25,B,1.45,0.75,0.65,1.045
2.5,B,1.45,0.75,0.65,1.045
2.75,B,1.45,0.75,0.65,1.045
3.0,B,1.45,0.75,0.65,1.045
3.25,B,1.45,0.75,0.65,1.045
3.5,B,1.45,0.75,0.65,1.045
3.75,B,1.45,0.75,0.65,1.045
4.0,B,1.45,0.75,0.65,1.045
4.25,B,1.45,0.75,0.65,1.045
4.5,B,1.45,0.75,0.65,1.045
4.75,B,1.45,0.75,0.65,1.045
5.0,B,1.45,0.75,0.65,1.045
5.25,B,1.45,0.75,0.65,1.045
5.5,B,1.45,0.75,0.65,1.045
5.75,B,1.45,0.75,0.65,1.045
6.0,B,1.45,0.75,0.65,1.045
6.25,B,1.45,0.75,0.65,1.045
6.5,B,1.45,0.75,0.65,1.045
6.75,B,1.45,0.75,0.65,1.045
7.0,B,1.45,0.75,0.65,1.045
7.25,B,1.45,0.75,0.65,1.045
7.5,B,1.45,0.75,0.65,1.045
7.75,B,1.45,0.75,0.65,1.045
8.0,B,2.0,0.75,0.65,1.2925
8.25,B,2.0,0.75,0.65,1.2925
8.5,B,2.0,0.75,0.65,1.2925
8.75,B,2.0,0.75,0.65,1.2925
9.0,B,2.0,0.75,0.65,1.2925
9.25,B,2.0,0.75,0.65,1.2925
9.5,B,2.0,0.75,0.65,1.2925
9.75,B,2.0,0.75,0.65,1.2925
10.0,B,2.0,0.75,0.65,1.2925
10.25,B,2.0,0.75,0.65,1.2925
10.5,B,2.0,0.75,0.65,1.2925
10.75,B,2.0,0.75,0.65,1.2925
11.0,B,2.0,0.75,0.65,1.2925
11.25,B,2.0,0.75,0.65,1.2925
11.5,B,2.0,0.75,0.65,1.2925
11.75,B,2.0,0.75,0.65,1.2925
12.0,B,2.0,0.75,0.65,1.2925
12.25,B,2.0,0.75,0.65,1.2925
12.5,B,2.0,0.75,0.65,1.2925
12.75,B,2.0,0.75,0.65,1.2925
13.0,B,2.0,0.75,0.65,1.2925
13.25,B,2.0,0.75,0.65,1.2925
13.5,B,2.0,0.75,0.65,1.2925
13.75,B,2.0,0.75,0.65,1.2925
14.0,B,2.0,0.75,0.65,1.2925
14.25,B,2.0,0.75,0.65,1.2925
14.5,B,2.0,0.75,0.65,1.2925
14.75,B,2.0,0.75,0.65,1.2925
15.0,B,2.0,0.75,0.65,1.2925
15.25,B,2.0,0.75,0.65,1.2925
15.5,B,2.0,0.75,0.65,1.2925
15.75,B,2.0,0.75,0.65,1.2925
16.0,B,2.0,0.75,0.65,1.2925
16.25,B,2.0,0.75,0.65,1.2925
16.5,B,2.0,0.75,0.65,1.2925
16.75,B,2.0,0.75,0.65,1.2925
17.0,B,2.0,0.75,0.65,1.2925
17.25,B,2.0,0.75,0.65,1.2925
17.5,B,2.0,0.75,0.65,1.2925
17.75,B,2.0,0.75,0.65,1.2925
18.0,B,2.0,0.75,0.65,1.2925
18.25,B,2.0,0.75,0.65,1.2925
18.5,B,2.0,0.75,0.65,1.2925
18.75,B,2.0,0.75,0.65,1.2925
19.0,B,2.0,0.75,0.65,1.2925
19.25,B,2.0,0.75,0.65,1.2925
19.5,B,2.0,0.75,0.65,1.2925
19.75,B,2.0,0.75,0.65,1.2925
20.0,B,2.0,0.75,0.65,1.2925
20.25,B,2.0,0.75,0.65,1.2925
20.5,B,2.0,0.75,0.65,1.2925
20.75,B,2.0,0.75,0.65,1.2925
21.0,B,2.0,0.75,0.65,1.2925
21.25,B,2.0,0.75,0.65,1.2925
21.5,B,2.0,0.75,0.65,1.2925
21.75,B,2.0,0.75,0.65,1.2925
22.0,B,2.0,0.75,0.65,1.2925
22.25,B,2.0,0.75,0.65,1.2925
22.5,B,2.0,0.75,0.65,1.2925
22.75,B,2.0,0.75,0.65,1.2925
23.0,B,2.0,0.75,0.65,1.2925
23.25,B,2.0,0.75,0.65,1.2925
23.5,B,2.0,0.75,0.65,1.2925
23.75,B,2.0,0.75,0.65,1.2925
24.0,B,2.0,0.75,0.65,1.2925
24.25,B,2.0,0.75,0.65,1.2925
24.5,B,2.0,0.75,0.65,1.2925
24.75,B,2.0,0.75,0.65,1.2925
25.0,B,2.0,0.75,0.65,1.2925
25.25,B,2.0,0.75,0.65,1.2925
25.5,B,2.0,0.75,0.65,1.2925
25.75,B,2.0,0.75,0.65,1.2925
26.0,B,2.0,0.75,0.65,1.2925
26.25,B,2.0,0.75,0.65,1.2925
26.5,B,2.0,0.75,0.65,1.2925
26.75,B,2.0,0.75,0.65,1.2925
27.0,B,2.0,0.75,0.65,1.2925
27.25,B,2.0,0.75,0.65,1.2925
27.5,B,2.0,0.75,0.65,1.2925
27.75,B,2.0,0.75,0.65,1.2925
28.0,B,2.0,0.75,0.65,1.2925
28.25,B,2.0,0.75,0.65,1.2925
28.5,B,2.0,0.75,0.65,1.2925
28.75,B,2.0,0.75,0.65,1.2925
29.0,B,2.0,0.75,0.65,1.2925
29.25,B,2.0,0.75,0.65,1.2925
29.5,B,2.0,0.75,0.65,1.2925
29.75,B,2.0,0.75,0.65,1.2925
30.0,B,2.0,0.75,0.65,1.2925
30.25,B,1.45,0.75,0.65,1.045
30.5,B,1.45,0.75,0.65,1.045
30.75,B,1.45,0.75,0.65,1.045
31.0,B,1.45,0.75,0.65,1.045
31.25,B,1.45,0.75,0.65,1.045
31.5,B,1.45,0.75,0.65,1.045
31.75,B,1.45,0.75,0.65,1.045
32.0,B,1.45,0.75,0.65,1.045
32.25,B,1.45,0.75,0.65,1.045
32.5,B,1.45,0.75,0.65,1.045
32.75,B,1.45,0.75,0.65,1.045
33.0,B,1.45,0.75,0.65,1.045
33.25,B,1.45,0.75,0.65,1.045
33.5,B,1.45,0.75,0.65,1.045
33.75,B,1.45,0.75,0.65,1.045
34.0,B,1.45,0.75,0.65,1.045
34.25,B,1.45,0.75,0.65,1.045
34.5,B,1.45,0.75,0.65,1.045
34.75,B,1.45,0.75,0.65,1.045
35.0,B,1.45,0.75,0.65,1.045
35.25,B,1.45,0.75,0.65,1.045
35.5,B,1.45,0.75,0.65,1.045
35.75,B,1.45,0.75,0.65,1.045
36.0,B,1.45,0.75,0.65,1.045
36.25,B,1.45,0.75,0.65,1.045
36.5,B,1.45,0.75,0.65,1.045
36.75,B,1.45,0.75,0.65,1.045
37.0,B,1.45,0.75,0.65,1.045
37.25,B,1.45,0.75,0.65,1.045
37.5,B,1.45,0.75,0.65,1.045
37.75,B,1.45,0.75,0.65,1.045
38.0,B,1.45,0.75,0.65,1.045
38.25,B,1.45,0.75,0.65,1.045
38.5,B,1.45,0.75,0.65,1.045
38.75,B,1.45,0.75,0.65,1.045
39.0,B,1.45,0.75,0.65,1.045
39.25,B,1.45,0.75,0.65,1.045
39.5,B,1.45,0.75,0.65,1.045
39.75,B,1.45,0.75,0.65,1.045
40.0,B,1.45,0.75,0.65,1.045
40.25,B,1.45,0.75,0.65,1.045
40.5,B,1.45,0.75,0.65,1.045
40.75,B,1.45,0.75,0.65,1.045
41.0,B,1.45,0.75,0.65,1.045
41.25,B,1.45,0.75,0.65,1.045
41.5,B,1.45,0.75,0.65,1.045
41.75,B,1.45,0.75,0.65,1.045
42.0,B,1.45,0.75,0.65,1.045
42.25,B,1.45,0.75,0.65,1.045
42.5,B,1.45,0.75,0.65,1.045
42.75,B,1.45,0.75,0.65,1.045
43.0,B,1.45,0.75,0.65,1.045
43.25,B,1.45,0.75,0.65,1.045
43.5,B,1.45,0.75,0.65,1.045
43.75,B,1.45,0.75,0.65,1.045
44.0,B,1.45,0.75,0.65,1.045
44.25,B,1.45,0.75,0.65,1.045
44.5,B,1.45,0.75,0.65,1.045
44.75,B,1.45,0.75,0.65,1.045
45.0,B,1.45,0.75,0.65,1.045
45.25,B,1.45,0.75,0.65,1.045
45.5,B,1.45,0.75,0.65,1.045
45.75,B,1.45,0.75,0.65,1.045
46.0,B,1.45,0.75,0.65,1.045
46.25,B,1.45,0.75,0.65,1.045
46.5,B,1.45,0.75,0.65,1.045
46.75,B,1.45,0.75,0.65,1.045
47.0,B,1.45,0.75,0.65,1.045
47.25,B,1.45,0.75,0.65,1.045
47.5,B,1.45,0.75,0.65,1.045
47.75,B,1.45,0.75,0.65,1.045
48.0,B,1.45,0.75,0.65,1.045
48.25,B,1.45,0.75,0.65,1.045
48.5,B,1.45,0.75,0.65,1.045
48.75,B,1.45,0.75,0.65,1.045
49.0,B,1.45,0.75,0.65,1.045
49.25,B,1.45,0.75,0.65,1.045
49.5,B,1.45,0.75,0.65,1.045
49.75,B,1.45,0.75,0.65,1.045
50.0,B,1.45,0.75,0.65,1.045
0.0,C,0.75,0.75,0.6,0.72
0.25,C,0.75,0.75,0.6,0.72
0.5,C,0.75,0.75,0.6,0.72
0.75,C,0.75,0.75,0.6,0.72
1.0,C,0.75,0.75,0.6,0.72
1.25,C,0.75,0.75,0.6,0.72
1.5,C,0.75,0.75,0.6,0.72
1.75,C,0.75,0.75,0.6,0.72
2.0,C,0.75,0.75,0.6,0.72
2.25,C,0.75,0.75,0.6,0.72
2.5,C,0.75,0.75,0.6,0.72
2.75,C,0.75,0.75,0.6,0.72
3.0,C,0.75,0.75,0.6,0.72
3.25,C,0.75,0.75,0.6,0.72
3.5,C,0.75,0.75,0.6,0.72
3.75,C,0.75,0.75,0.6,0.72
4.0,C,0.75,0.75,0.6,0.72
4.25,C,0.75,0.75,0.6,0.72
4.5,C,0.75,0.75,0.6,0.72
4.75,C,0.75,0.75,0.6,0.72
5.0,C,0.75,0.75,0.6,0.72
5.25,C,0.75,0.75,0.6,0.72
5.5,C,0.75,0.75,0.6,0.72
5.75,C,0.75,0.75,0.6,0.72
6.0,C,0.75,0.75,0.6,0.72
6.25,C,0.75,0.75,0.6,0.72
6.5,C,0.75,0.75,0.6,0.72
6.75,C,0.75,0.75,0.6,0.72
7.0,C,0.75,0.75,0.6,0.72
7.25,C,0.75,0.75,0.6,0.72
7.5,C,0.75,0.75,0.6,0.72
7.75,C,0.75,0.75,0.6,0.72
8.0,C,0.75,0.75,0.6,0.72
8.25,C,0.75,0.75,0.6,0.72
8.5,C,0.75,0.75,0.6,0.72
8.75,C,0.75,0.75,0.6,0.72
9.0,C,0.75,0.75,0.6,0.72
9.25,C,0.75,0.75,0.6,0.72
9.5,C,0.75,0.75,0.6,0.72
9.75,C,0.75,0.75,0.6,0.72
10.0,C,0.75,2.0,0.6,1.1575000000000002
10.25,C,0.75,2.0,0.6,1.1575000000000002
10.5,C,0.75,2.0,0.6,1.1575000000000002
10.75,C,0.75,2.0,0.6,1.1575000000000002
11.0,C,0.75,2.0,0.6,1.1575000000000002
11.25,C,0.75,2.0,0.6,1.1575000000000002
11.5,C,0.75,2.0,0.6,1.1575000000000002
11.75,C,0.75,2.0,0.6,1.1575000000000002
12.0,C,0.75,2.0,0.6,1.1575000000000002
12.25,C,0.75,2.0,0.6,1.1575000000000002
12.5,C,0.75,2.0,0.6,1.1575000000000002
12.75,C,0.75,2.0,0.6,1.1575000000000002
13.0,C,0.75,2.0,0.6,1.1575000000000002
13.25,C,0.75,2.0,0.6,1.1575000000000002
13.5,C,0.75,2.0,0.6,1.1575000000000002
13.75,C,0.75,2.0,0.6,1.1575000000000002
14.0,C,0.75,2.0,0.6,1.1575000000000002
14.25,C,0.75,2.0,0.6,1.1575000000000002
14.5,C,0.75,2.0,0.6,1.1575000000000002
14.75,C,0.75,2.0,0.6,1.1575000000000002
15.0,C,0.75,2.0,0.6,1.1575000000000002
15.25,C,0.75,2.0,0.6,1.1575000000000002
15.5,C,0.75,2.0,0.6,1.1575000000000002
15.75,C,0.75,2.0,0.6,1.1575000000000002
16.0,C,0.75,2.0,0.6,1.1575000000000002
16.25,C,0.75,0.75,0.6,0.72
16.5,C,0.75,0.75,0.6,0.72
16.75,C,0.75,0.75,0.6,0.72
17.0,C,0.75,0.75,0.6,0.72
17.25,C,0.75,0.75,0.6,0.72
17.5,C,0.75,0.75,0.6,0.72
17.75,C,0.75,0.75,0.6,0.72
18.0,C,0.75,0.75,0.6,0.72
18.25,C,0.75,0.75,0.6,0.72
18.5,C,0.75,0.75,0.6,0.72
