comparison,pf_permanent_M1,pf_degrading,Omega_PC,beta_permanent_M1,beta_degrading,Delta_beta_PC,interpretation
M1 vs M3,0.0043666666666666,0.1117666666666666,25.595419847328618,2.622320210188944,1.2171863214056724,1.4051338887832714,dangerously nonconservative permanent credit
M1 vs M4,0.0043666666666666,0.1294333333333333,29.641221374046243,2.622320210188944,1.1290738852899616,1.4932463248989822,dangerously nonconservative permanent credit
M1 vs M5,0.0043666666666666,0.2090333333333333,47.87022900763431,2.622320210188944,0.8097799350373804,1.8125402751515634,dangerously nonconservative permanent credit
M1 vs M7,0.0043666666666666,0.2731333333333333,62.54961832061163,2.622320210188944,0.6033638480935167,2.018956362095427,dangerously nonconservative permanent credit
