qservice_mean_kpa,time_year,qu_deterministic_kpa,qu_mc_mean_kpa,cov_qu,FS,sI,pf_U,beta_U,p_service_index_gt_0_045,pf_life,beta_life
250.0,0.0,1849.684099784351,1837.0537750403585,0.2174766303774173,7.398736399137404,0.005384487377661474,0.0,8.610122347451089,0.0,1.6976420269543269e-12,6.9603088453865904
250.0,0.5,1838.7338827186927,1826.0387444069192,0.2172160431286526,7.354935530874771,0.005474232654125439,0.0,8.592974607519816,0.0,1.6976420269543269e-12,6.9603088453865904
250.0,1.0,1827.8369306561651,1815.1108564291092,0.2169827771521258,7.31134772262466,0.00556510100758683,0.0,8.574889921346765,0.0,1.6976420269543269e-12,6.9603088453865904
250.0,1.5,1817.001999451456,1804.2799925569907,0.2167766990343133,7.268007997805824,0.0056570695223951036,0.0,8.555902252519171,0.0,1.6976420269543269e-12,6.9603088453865904
250.0,2.0,1806.237053129067,1793.5546840832094,0.2165973687833713,7.224948212516268,0.0057501151353028,0.0,8.536054151542995,0.0,1.6976420269543269e-12,6.9603088453865904
250.0,2.5,1795.5493194331625,1782.942262340806,0.2164440984952525,7.18219727773265,0.005844214617206658,0.0,8.515394853081656,0.0,1.6976420269543269e-12,6.9603088453865904
250.0,3.0,1784.9453416423169,1772.448991433704,0.216316003619853,7.1397813665692675,0.005939344558256858,0.0,8.493978596468278,0.0,1.6976420269543269e-12,6.9603088453865904
250.0,3.5,1774.431026902852,1762.080185735836,0.2162120473065517,7.097724107611408,0.006035481356039296,0.0,8.471863163038002,0.0,1.6976420269543269e-12,6.9603088453865904
250.0,4.0,1764.011691316647,1751.840314076201,0.216131078433572,7.056046765266588,0.006132601206565021,0.0,8.449108617432648,0.0,1.6976420269543269e-12,6.9603088453865904
250.0,4.5,1753.6921020029304,1741.733092258958,0.2160718639684952,7.014768408011721,0.006230680097826292,0.0,8.425776236695803,0.0,1.6976420269543269e-12,6.9603088453865904
250.0,5.0,1743.476516338269,1731.7615653411372,0.2160331163018278,6.973906065353076,0.006329693805701022,0.0,8.401927609565245,0.0,1.6976420269543269e-12,6.9603088453865904
250.0,5.5,1733.3687185648178,1721.9281808985038,0.2160135161629787,6.933474874259271,0.006429617892006995,0.0,8.377623888153346,0.0,1.6976420269543269e-12,6.9603088453865904
250.0,6.0,1723.372053943796,1712.2348543468067,0.2160117316815034,6.893488215775184,0.006530427704524332,0.0,8.352925174719214,0.0,1.6976420269543269e-12,6.9603088453865904
250.0,6.5,1713.4894606188786,1702.6830272463158,0.2160264341041142,6.8539578424755145,0.0066320983788201475,0.0,8.327890027176826,0.0,1.6976420269543269e-12,6.9603088453865904
250.0,7.0,1703.7234993429645,1693.2737193983164,0.2160563106245884,6.814893997371858,0.006734604841722499,0.0,8.302575068157468,1.1102230246251565e-16,1.6976420269543269e-12,6.9603088453865904
