time_year,scenario,S_chem,S_flow,S_WD,S_env,E_env,eta_eff,qu,FS,beta,pf,pf_life
0.0,A,1.0,1.0,1.0,1.0,0.0,0.92,944.8336149185893,0.9945616999143045,-0.0701186111499833,0.5279503731974511,0.7660083333333333
0.25,A,1.0,1.0,1.0,1.0,0.25,0.9153263767652675,944.273071906276,0.9939716546381853,-0.07400641643380311,0.5294973601559204,0.7660083333333333
0.5,A,1.0,1.0,1.0,1.0,0.5,0.9106853546561174,943.7101235719426,0.9933790774441501,-0.07791322797556555,0.5310514615019692,0.7660083333333333
0.75,A,1.0,1.0,1.0,1.0,0.75,0.9060767062615379,943.1449119260351,0.992784117816879,-0.08183809199350746,0.5326122676885279,0.7660083333333333
1.0,A,1.0,1.0,1.0,1.0,1.0,0.9015002057568354,942.5775754658829,0.9921869215430347,-0.0857800769516693,0.5341793778088021,0.7660083333333333
1.25,A,1.0,1.0,1.0,1.0,1.25,0.8969556288925695,942.0082492516971,0.9915876307912601,-0.08973827307600468,0.5357523994469323,0.7660083333333333
1.5,A,1.0,1.0,1.0,1.0,1.5,0.8924427529835647,941.4370649809753,0.9909863841905002,-0.09371179188194498,0.5373309485325439,0.7660083333333333
1.75,A,1.0,1.0,1.0,1.0,1.75,0.8879613568979983,940.8641510613479,0.990383316906682,-0.09769976571308664,0.5389146491989901,0.7660083333333333
2.0,A,1.0,1.0,1.0,1.0,2.0,0.8835112210465655,940.2896326818948,0.9897785607177839,-0.10170134729073353,0.5405031336451201,0.7660083333333333
2.25,A,1.0,1.0,1.0,1.0,2.25,0.8790921273717193,939.7136318829671,0.9891722440873337,-0.10571570927396116,0.5420960420003829,0.7660083333333333
2.5,A,1.0,1.0,1.0,1.0,2.5,0.8747038593369854,939.1362676245454,0.9885644922363637,-0.1097420438299244,0.5436930221931062,0.7660083333333333
2.75,A,1.0,1.0,1.0,1.0,2.75,0.8703462019163519,938.5576558531632,0.987955427213856,-0.11377956221414195,0.5452937298217987,0.7660083333333333
3.0,A,1.0,1.0,1.0,1.0,3.0,0.8660189415837336,937.977909567426,0.9873451679657116,-0.1178274943604774,0.5468978280293219,0.7660083333333333
3.25,A,1.0,1.0,1.0,1.0,3.25,0.8617218663025081,937.3971388821577,0.9867338304022713,-0.12188508848054934,0.5485049873797897,0.7660083333333333
3.5,A,1.0,1.0,1.0,1.0,3.5,0.8574547655151271,936.815451091199,0.98612152746442,-0.12595161067234195,0.5501148857380718,0.7660083333333333
3.75,A,1.0,1.0,1.0,1.0,3.75,0.853217430132798,936.2329507288889,0.9855083691883041,-0.13002634453774128,0.5517272081517633,0.7660083333333333
4.0,A,1.0,1.0,1.0,1.0,4.0,0.8490096525252394,935.6497396302573,0.9848944627686919,-0.13410859080878584,0.5533416467355133,0.7660083333333333
4.25,A,1.0,1.0,1.0,1.0,4.25,0.8448312265105066,935.0659169899509,0.9842799126210009,-0.13819766698238983,0.5549579005575936,0.7660083333333333
4.5,A,1.0,1.0,1.0,1.0,4.5,0.8406819473448888,934.4815794199259,0.9836648204420272,-0.14229290696331906,0.5565756755286049,0.7660083333333333
4.75,A,1.0,1.0,1.0,1.0,4.75,0.8365616117128767,933.8968210059268,0.9830492852693966,-0.14639366071519994,0.5581946842922192,0.7660083333333333
5.0,A,1.0,1.0,1.0,1.0,5.0,0.8324700177172,933.3117333627807,0.9824334035397692,-0.1504992939193695,0.5598146461178707,0.7660083333333333
5.25,A,1.0,1.0,1.0,1.0,5.25,0.8284069648689341,932.7264056885306,0.9818172691458217,-0.1546091876413388,0.5614352867952977,0.7660083333333333
5.5,A,1.0,1.0,1.0,1.0,5.5,0.8243722540776766,932.1409248174299,0.9812009734920315,-0.15872273800470535,0.5630563385308658,0.7660083333333333
5.75,A,1.0,1.0,1.0,1.0,5.75,0.8203656876417913,931.5553752718267,0.9805846055492913,-0.16283935587228257,0.5646775398455772,0.7660083333333333
6.0,A,1.0,1.0,1.0,1.0,6.0,0.8163870692387214,930.9698393129554,0.9799682519083741,-0.16695846653431892,0.5662986354747178,0.7660083333333333
6.25,A,1.0,1.0,1.0,1.0,6.25,0.812436203915369,930.3843969906626,0.9793519968322764,-0.17107950940356415,0.5679193762690461,0.7660083333333333
6.5,A,1.0,1.0,1.0,1.0,6.5,0.8085128980785427,929.7991261920878,0.9787359223074609,-0.17520193771706666,0.5695395190974857,0.7660083333333333
6.75,A,1.0,1.0,1.0,1.0,6.75,0.8046169594854715,929.2141026893204,0.9781201080940215,-0.17932521824449363,0.5711588267512434,0.7660083333333333
7.0,A,1.0,1.0,1.0,1.0,7.0,0.800748197234385,928.6294001860556,0.9775046317747954,-0.1834488310028326,0.5727770678493076,0.7660083333333333
