case,eta_50yr,phi_deg_50yr,c_b_kpa_50yr,q_u_kpa_50yr
untreated matrix,0.0,32.0,0.0,961.0457249966094
non-degrading biocementation,1.0,35.0,20.0,1849.684099784351
full residual at 50 yr,0.2,32.616681807045346,3.1420601209270584,1113.8518086697563
vanishing treated layer,0.33901915476035605,33.04039625742131,5.764848093852767,961.0457249966094
deep treated layer,0.33901915476035605,33.04039625742131,5.764848093852767,1325.0706224577802
no environmental degradation,1.0,35.0,20.0,1849.684099784351
