,eta0,etar,lambda_e,cb0,dtanphi,kH,kE,chimin,rs
eta0,1.0000000000000002,1.0000000000004405,-1.0000000000004565,-0.712859685890251,-0.751033513282229,0.7510335132822288,-0.7608338834435439,0.0,0.7510335132822289
etar,0.9999999999995596,1.0,-1.000000000000016,-0.7128596876242719,-0.7510335149147344,0.7510335149147345,-0.7608338850480573,0.0,0.7510335149147345
lambda_e,-0.9999999999995433,-0.9999999999999836,1.0,0.7128596721777871,0.7510335003722237,-0.7510335003722236,0.7608338707548151,0.0,-0.7510335003722236
cb0,-0.7128596858890529,-0.7128596876242309,0.7128596721777878,1.0,0.9984291318904447,-0.9984291318904448,0.9974784533910124,0.0,-0.9984291318904447
dtanphi,-0.7510335132810286,-0.7510335149146938,0.7510335003722248,0.9984291318904452,1.0,-1.0,0.9998879346170625,0.0,-1.0000000000000002
kH,0.7510335132810285,0.751033514914694,-0.7510335003722248,-0.9984291318904454,-1.0,1.0000000000000002,-0.9998879346170625,0.0,1.0
kE,-0.7608338834423437,-0.760833885048017,0.7608338707548165,0.9974784533910132,0.9998879346170627,-0.9998879346170627,1.0,0.0,-0.9998879346170628
chimin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rs,0.7510335132810284,0.7510335149146938,-0.7510335003722247,-0.9984291318904452,-1.0,0.9999999999999998,-0.9998879346170625,0.0,1.0
